Fiscal Year,Fund,Department,Class ID,Class,Total
2016,General Fund,City Planning Commission,200,Purchase of Services,79592.0
2016,General Fund,City Planning Commission,300,"Materials, Supplies & Equipment",40652.0
2016,General Fund,City Representative,100,Personal Services,418201.0
2016,General Fund,City Representative,200,Purchase of Services,561730.0
2016,General Fund,City Representative,300,"Materials, Supplies & Equipment",54000.0
2016,General Fund,City Treasurer,100,Personal Services,985689.0
2016,General Fund,City Treasurer,200,Purchase of Services,118444.0
2016,General Fund,City Treasurer,300,"Materials, Supplies & Equipment",22224.0
2016,General Fund,Civil Service Commission,100,Personal Services,147343.0
2016,General Fund,Civil Service Commission,200,Purchase of Services,29500.0
2016,General Fund,Civil Service Commission,300,"Materials, Supplies & Equipment",1094.0
2016,General Fund,Civil Service Commission,900,Advances & Other Misc Payments,6906535.0
2016,General Fund,Commerce,100,Personal Services,1943211.0
2016,General Fund,Commerce,200,Purchase of Services,1433481.0
2016,General Fund,Commerce,300,"Materials, Supplies & Equipment",26654.0
2016,General Fund,Commerce,500,"Contributions, Indemnities, Refunds, Taxes",500000.0
2016,General Fund,Commerce - Convention Center Subsidy,200,Purchase of Services,15000000.0
2016,General Fund,Commerce - Economic Stimulus,200,Purchase of Services,3294448.0
2016,General Fund,District Attorney,100,Personal Services,32490021.0
2016,General Fund,District Attorney,200,Purchase of Services,2467172.0
2016,General Fund,District Attorney,300,"Materials, Supplies & Equipment",525021.0
2016,General Fund,Finance,100,Personal Services,8801920.0
2016,General Fund,Finance,200,Purchase of Services,4370961.0
2016,General Fund,Finance,300,"Materials, Supplies & Equipment",110774.0
2016,General Fund,Finance,500,"Contributions, Indemnities, Refunds, Taxes",3950000.0
2016,General Fund,Finance - Community College Subsidy,500,"Contributions, Indemnities, Refunds, Taxes",30309207.0
2016,General Fund,Finance - Employee Benefits,100,Personal Services,1172182395.0
2016,General Fund,Finance - Hero Scholarship Awards,500,"Contributions, Indemnities, Refunds, Taxes",25000.0
2016,General Fund,Finance - Indemnities,500,"Contributions, Indemnities, Refunds, Taxes",38000000.0
2016,General Fund,Finance - Refunds,500,"Contributions, Indemnities, Refunds, Taxes",250000.0
2016,General Fund,Finance - School District Contribution,500,"Contributions, Indemnities, Refunds, Taxes",69184673.0
2016,General Fund,Finance - Witness Fees,200,Purchase of Services,171518.0
2016,General Fund,Fire,100,Personal Services,196783581.0
2016,General Fund,Fire,200,Purchase of Services,5895975.0
2016,General Fund,Fire,300,"Materials, Supplies & Equipment",7556014.0
2016,General Fund,Fire,800,Payments to Other Funds,8847226.0
2016,General Fund,First Judicial District,100,Personal Services,97206858.0
2016,General Fund,First Judicial District,200,Purchase of Services,10656574.0
2016,General Fund,First Judicial District,300,"Materials, Supplies & Equipment",2391868.0
2016,General Fund,Fleet Management,100,Personal Services,16544893.0
2016,General Fund,Fleet Management,200,Purchase of Services,9604396.0
2016,General Fund,Fleet Management,300,"Materials, Supplies & Equipment",35428211.0
2016,General Fund,Free Library,100,Personal Services,35777252.0
2016,General Fund,Free Library,200,Purchase of Services,2922077.0
2016,General Fund,Free Library,300,"Materials, Supplies & Equipment",2302659.0
2016,General Fund,Historical Commission,100,Personal Services,422771.0
2016,General Fund,Historical Commission,200,Purchase of Services,980.0
2016,General Fund,Historical Commission,300,"Materials, Supplies & Equipment",809.0
2016,General Fund,Human Relations Commission,100,Personal Services,2099408.0
2016,General Fund,Human Relations Commission,200,Purchase of Services,34657.0
2016,General Fund,Human Relations Commission,300,"Materials, Supplies & Equipment",13031.0
2016,General Fund,Human Services,100,Personal Services,24637310.0
2016,General Fund,Human Services,200,Purchase of Services,76779935.0
2016,General Fund,Human Services,300,"Materials, Supplies & Equipment",1312076.0
2016,General Fund,L&I  - Board of Building Standards,100,Personal Services,73970.0
2016,General Fund,L&I  - Board of L&I Review,100,Personal Services,157354.0
2016,General Fund,L&I  - Board of L&I Review,200,Purchase of Services,10436.0
2016,General Fund,L&I  - Zoning Board of Adjustment,100,Personal Services,337749.0
2016,General Fund,L&I  - Zoning Board of Adjustment,200,Purchase of Services,34541.0
2016,General Fund,Labor Relations,100,Personal Services,559029.0
2016,General Fund,Labor Relations,200,Purchase of Services,5277.0
2016,General Fund,Labor Relations,300,"Materials, Supplies & Equipment",8160.0
2016,General Fund,Law,100,Personal Services,7383566.0
2016,General Fund,Law,200,Purchase of Services,7010034.0
2016,General Fund,Law,300,"Materials, Supplies & Equipment",248676.0
2016,General Fund,Licenses and Inspections,100,Personal Services,19770711.0
2016,General Fund,Licenses and Inspections,200,Purchase of Services,10261906.0
2016,General Fund,Licenses and Inspections,300,"Materials, Supplies & Equipment",1443941.0
2016,General Fund,Managing Director's Office,100,Personal Services,16316293.0
2016,General Fund,Managing Director's Office,200,Purchase of Services,60748402.0
2016,General Fund,Managing Director's Office,300,"Materials, Supplies & Equipment",538979.0
2016,General Fund,Mayor's Office,100,Personal Services,4166124.0
2016,General Fund,Mayor's Office,200,Purchase of Services,990336.0
2016,General Fund,Mayor's Office,300,"Materials, Supplies & Equipment",50165.0
2016,General Fund,Mayor's Office - Scholarships,500,"Contributions, Indemnities, Refunds, Taxes",200000.0
2016,General Fund,Mayor's Office of Community Empowerment and Opportunity,200,Purchase of Services,605000.0
2016,General Fund,Mayor's Office of Transportation & Utilities,100,Personal Services,474340.0
2016,General Fund,Mayor's Office of Transportation & Utilities,200,Purchase of Services,259930.0
2016,General Fund,Mural Arts Program,100,Personal Services,464216.0
2016,General Fund,Mural Arts Program,200,Purchase of Services,1181800.0
2016,General Fund,Office of Arts and Culture,100,Personal Services,201367.0
2016,General Fund,Office of Arts and Culture,200,Purchase of Services,593800.0
2016,General Fund,Office of Arts and Culture,300,"Materials, Supplies & Equipment",7000.0
2016,General Fund,Office of Arts and Culture,500,"Contributions, Indemnities, Refunds, Taxes",2070688.0
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,100,Personal Services,1000066.0
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,200,Purchase of Services,12875510.0
2016,General Fund,Office of Housing and Community Development,200,Purchase of Services,2520000.0
2016,General Fund,Office of Human Resources,100,Personal Services,5399621.0
2016,General Fund,Office of Human Resources,200,Purchase of Services,964070.0
2016,General Fund,Office of Human Resources,300,"Materials, Supplies & Equipment",69932.0
2016,General Fund,Office of Innovation and Technology,100,Personal Services,19900681.0
2016,General Fund,Office of Innovation and Technology,200,Purchase of Services,54383430.0
2016,General Fund,Office of Innovation and Technology,300,"Materials, Supplies & Equipment",9598351.0
2016,General Fund,Office of Property Assessment,100,Personal Services,10424420.0
2016,General Fund,Office of Property Assessment,200,Purchase of Services,2078126.0
2016,General Fund,Office of Property Assessment,300,"Materials, Supplies & Equipment",782600.0
2016,General Fund,Office of Supportive Housing,100,Personal Services,8281213.0
2016,General Fund,Office of Supportive Housing,200,Purchase of Services,36586621.0
2016,General Fund,Office of Supportive Housing,300,"Materials, Supplies & Equipment",344127.0
2016,General Fund,Office of Supportive Housing,500,"Contributions, Indemnities, Refunds, Taxes",32421.0
2016,General Fund,Office of Sustainability,100,Personal Services,537979.0
2016,General Fund,Office of Sustainability,200,Purchase of Services,279508.0
2016,General Fund,Office of Sustainability,300,"Materials, Supplies & Equipment",17840.0
2016,General Fund,Office of the Inspector General,100,Personal Services,1470611.0
2016,General Fund,Office of the Inspector General,200,Purchase of Services,192975.0
2016,General Fund,Office of the Inspector General,300,"Materials, Supplies & Equipment",5225.0
2016,General Fund,Parks and Recreation,100,Personal Services,43429053.0
2016,General Fund,Parks and Recreation,200,Purchase of Services,9319525.0
2016,General Fund,Parks and Recreation,300,"Materials, Supplies & Equipment",2673805.0
2016,General Fund,Parks and Recreation,500,"Contributions, Indemnities, Refunds, Taxes",2289500.0
2016,General Fund,Police,100,Personal Services,622058347.0
2016,General Fund,Police,200,Purchase of Services,7262807.0
2016,General Fund,Police,300,"Materials, Supplies & Equipment",13417702.0
2016,General Fund,Prisons,100,Personal Services,133469579.0
2016,General Fund,Prisons,200,Purchase of Services,105351301.0
2016,General Fund,Prisons,300,"Materials, Supplies & Equipment",4773744.0
2016,General Fund,Prisons,500,"Contributions, Indemnities, Refunds, Taxes",1301757.0
2016,General Fund,Procurement,100,Personal Services,2472351.0
2016,General Fund,Procurement,200,Purchase of Services,2316267.0
2016,General Fund,Procurement,300,"Materials, Supplies & Equipment",49054.0
2016,General Fund,Public Health,100,Personal Services,50298254.0
2016,General Fund,Public Health,200,Purchase of Services,59953424.0
2016,General Fund,Public Health,300,"Materials, Supplies & Equipment",5490768.0
2016,General Fund,Public Health,800,Payments to Other Funds,500000.0
2016,General Fund,Public Property,100,Personal Services,8400083.0
2016,General Fund,Public Property,200,Purchase of Services,80503771.0
2016,General Fund,Public Property,300,"Materials, Supplies & Equipment",1338535.0
2016,General Fund,Public Property,800,Payments to Other Funds,23367706.0
2016,General Fund,Public Property - SEPTA Subsidy,200,Purchase of Services,74215000.0
2016,General Fund,Records,100,Personal Services,3058832.0
2016,General Fund,Records,200,Purchase of Services,1618779.0
2016,General Fund,Records,300,"Materials, Supplies & Equipment",143758.0
2016,General Fund,Records,500,"Contributions, Indemnities, Refunds, Taxes",1456.0
2016,General Fund,Register of Wills,100,Personal Services,3232166.0
2016,General Fund,Register of Wills,200,Purchase of Services,75486.0
2016,General Fund,Register of Wills,300,"Materials, Supplies & Equipment",33210.0
2016,General Fund,Revenue,100,Personal Services,19617564.0
2016,General Fund,Revenue,200,Purchase of Services,5352949.0
2016,General Fund,Revenue,300,"Materials, Supplies & Equipment",800976.0
2016,General Fund,Sheriff,100,Personal Services,17104325.0
2016,General Fund,Sheriff,200,Purchase of Services,715267.0
2016,General Fund,Sheriff,300,"Materials, Supplies & Equipment",393207.0
2016,General Fund,Sinking Fund Commission (Debt Service),200,Purchase of Services,104546913.0
2016,General Fund,Sinking Fund Commission (Debt Service),700,Debt Service,141398213.0
2016,General Fund,Streets,100,Personal Services,72724132.0
2016,General Fund,Streets,200,Purchase of Services,48819455.0
2016,General Fund,Streets,300,"Materials, Supplies & Equipment",3809962.0
2016,General Fund,Streets,500,"Contributions, Indemnities, Refunds, Taxes",53171.0
2016,General Fund,Youth Commission,100,Personal Services,92660.0
2016,General Fund,Youth Commission,200,Purchase of Services,46000.0
2016,General Fund,Youth Commission,300,"Materials, Supplies & Equipment",4080.0
2016,Grants Revenue Fund,Auditing,300,"Materials, Supplies & Equipment",249999.0
2016,Grants Revenue Fund,City Commissioners,100,Personal Services,100000.0
2016,Grants Revenue Fund,City Commissioners,200,Purchase of Services,600000.0
2016,Grants Revenue Fund,City Commissioners,300,"Materials, Supplies & Equipment",200000.0
2016,Grants Revenue Fund,City Planning Commission,100,Personal Services,475261.0
2016,Grants Revenue Fund,City Planning Commission,200,Purchase of Services,955206.0
2016,Grants Revenue Fund,City Planning Commission,800,Payments to Other Funds,1600.0
2016,Grants Revenue Fund,Commerce,100,Personal Services,49814.0
2016,Grants Revenue Fund,Commerce,200,Purchase of Services,10811988.0
2016,Grants Revenue Fund,District Attorney,100,Personal Services,15475000.0
2016,Grants Revenue Fund,District Attorney,200,Purchase of Services,1124880.0
2016,Grants Revenue Fund,District Attorney,300,"Materials, Supplies & Equipment",110462.0
2016,Grants Revenue Fund,Finance - Provision for Other Grants,900,Advances & Other Misc Payments,203800721.0
2016,Grants Revenue Fund,Fire,100,Personal Services,9491996.0
2016,Grants Revenue Fund,Fire,200,Purchase of Services,1388014.0
2016,Grants Revenue Fund,Fire,300,"Materials, Supplies & Equipment",368681.0
2016,Grants Revenue Fund,First Judicial District,100,Personal Services,50715911.0
2016,Grants Revenue Fund,First Judicial District,200,Purchase of Services,6775539.0
2016,Grants Revenue Fund,First Judicial District,300,"Materials, Supplies & Equipment",815479.0
2016,Grants Revenue Fund,Free Library,100,Personal Services,1226084.0
2016,Grants Revenue Fund,Free Library,200,Purchase of Services,3921223.0
2016,Grants Revenue Fund,Free Library,300,"Materials, Supplies & Equipment",3366737.0
2016,Grants Revenue Fund,Human Services,100,Personal Services,116949046.0
2016,Grants Revenue Fund,Human Services,200,Purchase of Services,451172464.0
2016,Grants Revenue Fund,Human Services,300,"Materials, Supplies & Equipment",2707544.0
2016,Grants Revenue Fund,Licenses and Inspections,200,Purchase of Services,4500000.0
2016,Grants Revenue Fund,Managing Director's Office,100,Personal Services,1864474.0
2016,Grants Revenue Fund,Managing Director's Office,200,Purchase of Services,4021103.0
2016,Grants Revenue Fund,Managing Director's Office,300,"Materials, Supplies & Equipment",383008.0
2016,Grants Revenue Fund,Mayor's Office,100,Personal Services,1116264.0
2016,Grants Revenue Fund,Mayor's Office,200,Purchase of Services,658412.0
2016,Grants Revenue Fund,Mayor's Office,300,"Materials, Supplies & Equipment",9336.0
2016,Grants Revenue Fund,Mayor's Office of Community Empowerment and Opportunity,100,Personal Services,2800644.0
2016,Grants Revenue Fund,Mayor's Office of Community Empowerment and Opportunity,200,Purchase of Services,13075621.0
2016,Grants Revenue Fund,Mayor's Office of Community Empowerment and Opportunity,300,"Materials, Supplies & Equipment",48125.0
2016,Grants Revenue Fund,Mayor's Office of Transportation & Utilities,100,Personal Services,127583.0
2016,Grants Revenue Fund,Mayor's Office of Transportation & Utilities,200,Purchase of Services,1698435.0
2016,Grants Revenue Fund,Mayor's Office of Transportation & Utilities,300,"Materials, Supplies & Equipment",2500.0
2016,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbilities,100,Personal Services,23142889.0
2016,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbilities,200,Purchase of Services,231221587.0
2016,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbilities,300,"Materials, Supplies & Equipment",357190.0
2016,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbilities,800,Payments to Other Funds,76248.0
2016,Grants Revenue Fund,Office of Housing and Community Development,200,Purchase of Services,128117000.0
2016,Grants Revenue Fund,Office of Innovation and Technology,200,Purchase of Services,967655.0
2016,Grants Revenue Fund,Office of Innovation and Technology,800,Payments to Other Funds,44702879.0
2016,Grants Revenue Fund,Office of Supportive Housing,100,Personal Services,710423.0
2016,Grants Revenue Fund,Office of Supportive Housing,200,Purchase of Services,44956142.0
2016,Grants Revenue Fund,Office of Supportive Housing,300,"Materials, Supplies & Equipment",887489.0
2016,Grants Revenue Fund,Office of Sustainability,100,Personal Services,40000.0
2016,Grants Revenue Fund,Parks and Recreation,100,Personal Services,3836352.0
2016,Grants Revenue Fund,Parks and Recreation,200,Purchase of Services,922703.0
2016,Grants Revenue Fund,Parks and Recreation,300,"Materials, Supplies & Equipment",6405874.0
2016,Grants Revenue Fund,Parks and Recreation,500,"Contributions, Indemnities, Refunds, Taxes",110000.0
2016,Grants Revenue Fund,Police,100,Personal Services,6249926.0
2016,Grants Revenue Fund,Police,200,Purchase of Services,6276769.0
2016,Grants Revenue Fund,Police,300,"Materials, Supplies & Equipment",14402546.0
2016,Grants Revenue Fund,Prisons,200,Purchase of Services,30000.0
2016,Grants Revenue Fund,Public Health,100,Personal Services,15358732.0
2016,Grants Revenue Fund,Public Health,200,Purchase of Services,56755608.0
2016,Grants Revenue Fund,Public Health,300,"Materials, Supplies & Equipment",1701279.0
2016,Grants Revenue Fund,Public Health,800,Payments to Other Funds,865555.0
2016,Grants Revenue Fund,Revenue,200,Purchase of Services,21150000.0
2016,Grants Revenue Fund,Streets,100,Personal Services,720000.0
2016,Grants Revenue Fund,Streets,200,Purchase of Services,31905144.0
2016,Grants Revenue Fund,Streets,300,"Materials, Supplies & Equipment",3604856.0
2016,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual disAbilities,200,Purchase of Services,960002000.0
2016,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual disAbilities,300,"Materials, Supplies & Equipment",50000.0
2016,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual disAbilities,800,Payments to Other Funds,1500000.0
2016,Hotel Room Rental Tax Fund,Commerce,500,"Contributions, Indemnities, Refunds, Taxes",62700000.0
2016,Housing Trust Fund,Office of Housing and Community Development,100,Personal Services,1250000.0
2016,Housing Trust Fund,Office of Housing and Community Development,200,Purchase of Services,23250000.0
2016,Special Gasoline Tax Fund,Finance - Employee Benefits,100,Personal Services,1000000.0
2016,Special Gasoline Tax Fund,Streets,100,Personal Services,3000000.0
2016,Special Gasoline Tax Fund,Streets,200,Purchase of Services,15558550.0
2016,Special Gasoline Tax Fund,Streets,300,"Materials, Supplies & Equipment",9926450.0
2016,Special Gasoline Tax Fund,Streets,800,Payments to Other Funds,15000.0
2016,Water Fund,Finance - Employee Benefits,100,Personal Services,110915262.0
2016,Water Fund,Finance - Indemnities,500,"Contributions, Indemnities, Refunds, Taxes",6500000.0
2016,Water Fund,Fleet Management,100,Personal Services,2969317.0
2016,Water Fund,Fleet Management,200,Purchase of Services,1489000.0
2016,Water Fund,Fleet Management,300,"Materials, Supplies & Equipment",4274640.0
2016,Water Fund,Law,100,Personal Services,2506206.0
2016,Water Fund,Law,200,Purchase of Services,691614.0
2016,Water Fund,Law,300,"Materials, Supplies & Equipment",43010.0
2016,Water Fund,Mayor's Office of Transportation & Utilities,100,Personal Services,138550.0
2016,Water Fund,Office of Innovation and Technology,100,Personal Services,6265289.0
2016,Water Fund,Office of Innovation and Technology,200,Purchase of Services,14706497.0
2016,Water Fund,Office of Innovation and Technology,300,"Materials, Supplies & Equipment",2025150.0
2016,Water Fund,Office of Sustainability,100,Personal Services,63874.0
2016,Water Fund,Office of Sustainability,200,Purchase of Services,30000.0
2016,Water Fund,Procurement,100,Personal Services,77383.0
2016,Water Fund,Public Property,200,Purchase of Services,4042633.0
2016,Water Fund,Revenue,100,Personal Services,11138839.0
2016,Water Fund,Revenue,200,Purchase of Services,4484480.0
2016,Water Fund,Revenue,300,"Materials, Supplies & Equipment",640920.0
2016,Water Fund,Revenue,500,"Contributions, Indemnities, Refunds, Taxes",5000.0
2016,Water Fund,Sinking Fund Commission (Debt Service),700,Debt Service,227139336.0
2016,Water Fund,Water,100,Personal Services,102961600.0
2016,Water Fund,Water,200,Purchase of Services,151645200.0
2016,Water Fund,Water,300,"Materials, Supplies & Equipment",47460200.0
2016,Water Fund,Water,500,"Contributions, Indemnities, Refunds, Taxes",100000.0
2016,Water Fund,Water,800,Payments to Other Funds,65000000.0
2016,Water Residual Fund,Water,800,Payments to Other Funds,34724000.0
