fiscal_year,fund,department,class_id,class,subclass_id,subclass,total
2018,General Operating Fund,Mayor's Office-Labor Relations,2,Purchase of Services,256,Seminar and Training Sessions,2500
2018,General Operating Fund,Mayor's Office-Labor Relations,2,Purchase of Services,256,Seminar and Training Sessions,8677
2018,General Operating Fund,Mayor's Office-Labor Relations,3,Materials and Supplies,304,Books and Other Publications,5460
2018,General Operating Fund,Mayor's Office-Labor Relations,3,Materials and Supplies,313,Food,500
2018,General Operating Fund,Mayor's Office-Labor Relations,3,Materials and Supplies,320,Office Materials and Supplies,2100
2018,General Operating Fund,Mayor's Office-Labor Relations,3,Materials and Supplies,320,Office Materials and Supplies,800
2018,General Operating Fund,Mayor's Office-Labor Relations,3,Materials and Supplies,325,Printing,500
2018,General Operating Fund,Mayor's Office-Labor Relations,3,Materials and Supplies,325,Printing,700
2018,General Operating Fund,Mayor's Office-Labor Relations,4,Equipment,420,Office Equipment,1600
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,100,Salary Control,71803
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,100,Salary Control,80000
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,100,Salary Control,25781
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,101,Perm Full Time-Civilian,9128185
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,101,Perm Full Time-Civilian,7470923
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,101,Perm Full Time-Civilian,906588
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,101,Perm Full Time-Civilian,2357690
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,109,Plus/Minus Gross Adj,44144
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,111,Perm Part Time,15000
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,111,Perm Part Time,15000
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,121,Temporary/Seasonal,76992
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,161,Overtime-Civilian,137662
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,161,Overtime-Civilian,480000
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,161,Overtime-Civilian,96211
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,171,"Holiday ""G""(2/3 Shifts)",23000
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,171,"Holiday ""G""(2/3 Shifts)",5880
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,171,"Holiday ""G""(2/3 Shifts)",20000
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,181,Shift,4208
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,181,Shift,1980
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,181,Shift,6000
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,199,Sick Pay(b Time)-Civilian,23956
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,199,Sick Pay(b Time)-Civilian,8000
2018,General Operating Fund,Office of Innovation & Technology,1,Personal Services,199,Sick Pay(b Time)-Civilian,20000
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,201,Cleaning and Laundering,30000
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,209,Telephone,1800000
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,209,Telephone,9658753
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,210,Postage,2750
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,211,Transportation,500
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,211,Transportation,10268
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,211,Transportation,1500
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,216,Commercial Off-Shelf Comp Software,807679
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,216,Commercial Off-Shelf Comp Software,128769
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,216,Commercial Off-Shelf Comp Software,6574469
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,216,Commercial Off-Shelf Comp Software,600
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,250,Professional Consult/Spec Services,20000
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,250,Professional Consult/Spec Services,1800
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,250,Professional Consult/Spec Services,65000
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,250,Professional Consult/Spec Services,19809
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,251,Information Technology-Prof Service,593350
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,251,Information Technology-Prof Service,1679393
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,251,Information Technology-Prof Service,8388959
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,251,Information Technology-Prof Service,9844532
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,255,Dues,13675
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,255,Dues,99
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,256,Seminar and Training Sessions,33700
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,256,Seminar and Training Sessions,9080
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,256,Seminar and Training Sessions,53316
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,260,Repair and Maintenance Charges,3340578
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,260,Repair and Maintenance Charges,132914
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,260,Repair and Maintenance Charges,1622053
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,260,Repair and Maintenance Charges,20411
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,266,Maint/Support-Computr Hardware/Soft,1634347
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,266,Maint/Support-Computr Hardware/Soft,2377730
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,266,Maint/Support-Computr Hardware/Soft,1099522
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,266,Maint/Support-Computr Hardware/Soft,2324911
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,282,Rent/Lease-Purchase Computer Equip,7000
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,282,Rent/Lease-Purchase Computer Equip,46310
2018,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,285,Rents,784180
2018,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,310,Electrical and Communication,12901
2018,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,310,Electrical and Communication,1059426
2018,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,310,Electrical and Communication,189132
2018,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,312,Fire Fighting and Safety,19152
2018,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,320,Office Materials and Supplies,69625
2018,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,320,Office Materials and Supplies,63698
2018,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,324,"Precision, Photographic and Artists",12000
2018,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,325,Printing,620
2018,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,399,Other Materials and Supplies (Noc),7339
2018,General Operating Fund,Office of Innovation & Technology,4,Equipment,410,Electrical Lighting Communication,401000
2018,General Operating Fund,Office of Innovation & Technology,4,Equipment,423,Plumbing/Air Conditioning/Space Htg,45000
2018,General Operating Fund,Office of Innovation & Technology,4,Equipment,424,"Precision, Photographic and Artist",4000
2018,General Operating Fund,Office of Innovation & Technology,4,Equipment,427,Computer Equipment & Peripherals,84778
2018,General Operating Fund,Office of Innovation & Technology,4,Equipment,427,Computer Equipment & Peripherals,2433027
2018,General Operating Fund,Office of Innovation & Technology,4,Equipment,427,Computer Equipment & Peripherals,2511553
2018,General Operating Fund,Office of Innovation & Technology,4,Equipment,427,Computer Equipment & Peripherals,1188403
2018,General Operating Fund,Office of Innovation & Technology,4,Equipment,430,Furniture and Furnishings,1484196
2018,General Operating Fund,Office of Innovation & Technology,4,Equipment,430,Furniture and Furnishings,4698
2018,General Operating Fund,Mayor's Office,1,Personal Services,100,Salary Control,69581
2018,General Operating Fund,Mayor's Office,1,Personal Services,101,Perm Full Time-Civilian,256575
2018,General Operating Fund,Mayor's Office,1,Personal Services,101,Perm Full Time-Civilian,640373
2018,General Operating Fund,Mayor's Office,1,Personal Services,101,Perm Full Time-Civilian,857662
2018,General Operating Fund,Mayor's Office,1,Personal Services,101,Perm Full Time-Civilian,477015
2018,General Operating Fund,Mayor's Office,1,Personal Services,101,Perm Full Time-Civilian,989334
2018,General Operating Fund,Mayor's Office,1,Personal Services,101,Perm Full Time-Civilian,545010
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,211,Transportation,1500
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,211,Transportation,5000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,211,Transportation,8000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,211,Transportation,1000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,211,Transportation,10000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,211,Transportation,35000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,250,Professional Consult/Spec Services,104000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,250,Professional Consult/Spec Services,89000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,250,Professional Consult/Spec Services,340000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,250,Professional Consult/Spec Services,5000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,250,Professional Consult/Spec Services,26680
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,255,Dues,295
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,255,Dues,85000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,256,Seminar and Training Sessions,1000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,260,Repair and Maintenance Charges,10000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,260,Repair and Maintenance Charges,16000
2018,General Operating Fund,Mayor's Office,2,Purchase of Services,266,Maint/Support-Computr Hardware/Soft,5571
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,304,Books and Other Publications,3500
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,313,Food,6000
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,313,Food,6000
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,313,Food,1050
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,313,Food,5000
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,320,Office Materials and Supplies,3000
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,320,Office Materials and Supplies,1000
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,320,Office Materials and Supplies,12604
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,320,Office Materials and Supplies,2000
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,320,Office Materials and Supplies,1500
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,325,Printing,10000
2018,General Operating Fund,Mayor's Office,3,Materials and Supplies,325,Printing,1500
2018,General Operating Fund,Mayor's Office,4,Equipment,423,Plumbing/Air Conditioning/Space Htg,2391
2018,General Operating Fund,Mayor's Office,5,"Contributions, Indemnities, Refunds, Taxes",504,Meritorious Awards,200000
2018,General Operating Fund,Mayor's Office-Community Services,1,Personal Services,101,Perm Full Time-Civilian,230000
2018,General Operating Fund,Mayor's Office-Community Services,2,Purchase of Services,250,Professional Consult/Spec Services,1445000
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,1109407
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,366683
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,539950
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,2328828
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,695488
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,787220
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,585000
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,240000
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,2075063
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,604256
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,577345
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,374093
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,786636
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,721002
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,2443306
2018,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-Civilian,4951968
2018,General Operating Fund,Managing Director,1,Personal Services,105,Perm Full Time-Uniform,111000
2018,General Operating Fund,Managing Director,1,Personal Services,111,Perm Part Time,220780
2018,General Operating Fund,Managing Director,1,Personal Services,121,Temporary/Seasonal,92065
2018,General Operating Fund,Managing Director,1,Personal Services,121,Temporary/Seasonal,217442
2018,General Operating Fund,Managing Director,1,Personal Services,161,Overtime-Civilian,96980
2018,General Operating Fund,Managing Director,1,Personal Services,161,Overtime-Civilian,300696
2018,General Operating Fund,Managing Director,1,Personal Services,171,"Holiday ""G""(2/3 Shifts)",4000
2018,General Operating Fund,Managing Director,1,Personal Services,181,Shift,1140
2018,General Operating Fund,Managing Director,1,Personal Services,199,Sick Pay(b Time)-Civilian,658
2018,General Operating Fund,Managing Director,2,Purchase of Services,205,Refuse/Garbage/Silt/Sludge Removal,1000
2018,General Operating Fund,Managing Director,2,Purchase of Services,209,Telephone,1000
2018,General Operating Fund,Managing Director,2,Purchase of Services,209,Telephone,1000
2018,General Operating Fund,Managing Director,2,Purchase of Services,210,Postage,1000
2018,General Operating Fund,Managing Director,2,Purchase of Services,210,Postage,20000
2018,General Operating Fund,Managing Director,2,Purchase of Services,211,Transportation,1000
2018,General Operating Fund,Managing Director,2,Purchase of Services,211,Transportation,1500
2018,General Operating Fund,Managing Director,2,Purchase of Services,211,Transportation,2000
2018,General Operating Fund,Managing Director,2,Purchase of Services,211,Transportation,3000
2018,General Operating Fund,Managing Director,2,Purchase of Services,211,Transportation,3000
2018,General Operating Fund,Managing Director,2,Purchase of Services,211,Transportation,10000
2018,General Operating Fund,Managing Director,2,Purchase of Services,211,Transportation,1000
2018,General Operating Fund,Managing Director,2,Purchase of Services,216,Commercial Off-Shelf Comp Software,613
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,12000
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,30000
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,272855
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,743000
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,5000
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,608930
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,2541761
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,10000
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,4269942
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,10000
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,477395
2018,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/Spec Services,150000
2018,General Operating Fund,Managing Director,2,Purchase of Services,251,Information Technology-Prof Service,232500
2018,General Operating Fund,Managing Director,2,Purchase of Services,253,Legal Services,8840000
2018,General Operating Fund,Managing Director,2,Purchase of Services,253,Legal Services,48414381
2018,General Operating Fund,Managing Director,2,Purchase of Services,256,Seminar and Training Sessions,5000
2018,General Operating Fund,Managing Director,2,Purchase of Services,256,Seminar and Training Sessions,4000
2018,General Operating Fund,Managing Director,2,Purchase of Services,256,Seminar and Training Sessions,5000
2018,General Operating Fund,Managing Director,2,Purchase of Services,260,Repair and Maintenance Charges,150000
2018,General Operating Fund,Managing Director,2,Purchase of Services,260,Repair and Maintenance Charges,600
2018,General Operating Fund,Managing Director,2,Purchase of Services,277,Witness Fees,260000
2018,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,130000
2018,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,10000
2018,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,8000
2018,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,200000
2018,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,10500
2018,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,15000
2018,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,6000
2018,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,6000
2018,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,25000
2018,General Operating Fund,Managing Director,2,Purchase of Services,299,Other Expenses (Not Othrwse Clssfd),135000
2018,General Operating Fund,Managing Director,2,Purchase of Services,299,Other Expenses (Not Othrwse Clssfd),66950
2018,General Operating Fund,Managing Director,2,Purchase of Services,299,Other Expenses (Not Othrwse Clssfd),805
2018,General Operating Fund,Managing Director,3,Materials and Supplies,305,Building and Construction,140000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,306,Library Materials,32000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,308,Dry Goods/Notions/Wearing Apparel,40000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,311,General Equipment and Machinery,30000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,313,Food,13500
2018,General Operating Fund,Managing Director,3,Materials and Supplies,318,"Janitorial, Laundry and Household",120000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,14621
2018,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,2000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,2000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,15000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,2000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,11700
2018,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,2000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,19000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,2000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,322,Small Power Tools and Hand Tools,10000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,324,"Precision, Photographic and Artists",2000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,325,Printing,1000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,325,Printing,2000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,325,Printing,5000
2018,General Operating Fund,Managing Director,3,Materials and Supplies,325,Printing,300
2018,General Operating Fund,Managing Director,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,3034
2018,General Operating Fund,Managing Director,4,Equipment,410,Electrical Lighting Communication,5000
2018,General Operating Fund,Managing Director,4,Equipment,420,Office Equipment,10000
2018,General Operating Fund,Managing Director,4,Equipment,420,Office Equipment,2700
2018,General Operating Fund,Managing Director,4,Equipment,420,Office Equipment,5000
2018,General Operating Fund,Managing Director,4,Equipment,424,"Precision, Photographic and Artist",5000
2018,General Operating Fund,Managing Director,4,Equipment,427,Computer Equipment & Peripherals,10000
2018,General Operating Fund,Managing Director,4,Equipment,427,Computer Equipment & Peripherals,1000
2018,General Operating Fund,Managing Director,4,Equipment,428,Vehicles -- Motor and Motorless,200000
2018,General Operating Fund,Managing Director,4,Equipment,430,Furniture and Furnishings,5000
2018,General Operating Fund,Managing Director,4,Equipment,430,Furniture and Furnishings,10000
2018,General Operating Fund,Managing Director,4,Equipment,499,Other Equipment (Noc),44624
2018,General Operating Fund,Police,1,Personal Services,100,Salary Control,3512013
2018,General Operating Fund,Police,1,Personal Services,100,Salary Control,350000
2018,General Operating Fund,Police,1,Personal Services,100,Salary Control,2200000
2018,General Operating Fund,Police,1,Personal Services,101,Perm Full Time-Civilian,7530178
2018,General Operating Fund,Police,1,Personal Services,101,Perm Full Time-Civilian,26116509
2018,General Operating Fund,Police,1,Personal Services,101,Perm Full Time-Civilian,4837832
2018,General Operating Fund,Police,1,Personal Services,105,Perm Full Time-Uniform,370764002
2018,General Operating Fund,Police,1,Personal Services,105,Perm Full Time-Uniform,24900848
2018,General Operating Fund,Police,1,Personal Services,105,Perm Full Time-Uniform,41462162
2018,General Operating Fund,Police,1,Personal Services,109,Plus/Minus Gross Adj,300000
2018,General Operating Fund,Police,1,Personal Services,109,Plus/Minus Gross Adj,1330331
2018,General Operating Fund,Police,1,Personal Services,109,Plus/Minus Gross Adj,250759
2018,General Operating Fund,Police,1,Personal Services,110,Uniform Stress Pay,1747782
2018,General Operating Fund,Police,1,Personal Services,110,Uniform Stress Pay,28262091
2018,General Operating Fund,Police,1,Personal Services,110,Uniform Stress Pay,2413401
2018,General Operating Fund,Police,1,Personal Services,141,School Crossing Guards,12080893
2018,General Operating Fund,Police,1,Personal Services,152,Uniform Iod Pay (Heart & Lung),3217863
2018,General Operating Fund,Police,1,Personal Services,152,Uniform Iod Pay (Heart & Lung),129788
2018,General Operating Fund,Police,1,Personal Services,152,Uniform Iod Pay (Heart & Lung),19495100
2018,General Operating Fund,Police,1,Personal Services,161,Overtime-Civilian,3397246
2018,General Operating Fund,Police,1,Personal Services,161,Overtime-Civilian,242754
2018,General Operating Fund,Police,1,Personal Services,161,Overtime-Civilian,110000
2018,General Operating Fund,Police,1,Personal Services,165,Overtime/Shift-Uniform,48498878
2018,General Operating Fund,Police,1,Personal Services,165,Overtime/Shift-Uniform,2826122
2018,General Operating Fund,Police,1,Personal Services,165,Overtime/Shift-Uniform,2500000
2018,General Operating Fund,Police,1,Personal Services,171,"Holiday ""G""(2/3 Shifts)",203419
2018,General Operating Fund,Police,1,Personal Services,171,"Holiday ""G""(2/3 Shifts)",62885
2018,General Operating Fund,Police,1,Personal Services,171,"Holiday ""G""(2/3 Shifts)",668696
2018,General Operating Fund,Police,1,Personal Services,175,Holiday Pay-Annual,19148436
2018,General Operating Fund,Police,1,Personal Services,175,Holiday Pay-Annual,1342350
2018,General Operating Fund,Police,1,Personal Services,175,Holiday Pay-Annual,1470000
2018,General Operating Fund,Police,2,Purchase of Services,201,Cleaning and Laundering,2682000
2018,General Operating Fund,Police,2,Purchase of Services,201,Cleaning and Laundering,252000
2018,General Operating Fund,Police,2,Purchase of Services,201,Cleaning and Laundering,154500
2018,General Operating Fund,Police,2,Purchase of Services,202,Janitorial Services,7000
2018,General Operating Fund,Police,2,Purchase of Services,205,Refuse/Garbage/Silt/Sludge Removal,10725
2018,General Operating Fund,Police,2,Purchase of Services,205,Refuse/Garbage/Silt/Sludge Removal,16355
2018,General Operating Fund,Police,2,Purchase of Services,205,Refuse/Garbage/Silt/Sludge Removal,33236
