fiscal_year,fund,department,class_id,class,minor_class_id,minor_class,total
2016,General Operating Fund,Office of Innovation & Technology,1,Personal Services,109,Plus/minus Gross Adj,$153725.00
2016,General Operating Fund,Office of Innovation & Technology,1,Personal Services,111,Perm Part Time,$104872.00
2016,General Operating Fund,Office of Innovation & Technology,1,Personal Services,121,Temporary Seasonal,$214153.00
2016,General Operating Fund,Office of Innovation & Technology,1,Personal Services,161,Overtime Civilian,$623185.00
2016,General Operating Fund,Office of Innovation & Technology,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",$56744.00
2016,General Operating Fund,Office of Innovation & Technology,1,Personal Services,181,Shift,$13100.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,209,Telephone,$12387511.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,210,Postage,$3000.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,211,Transportation,$10950.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,216,Commercial Off-shelf Comp Software,$3799054.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,220,Electric Current-structures/streets,$210500.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,250,Professional Consult/spec Services,$34137.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,251,Information Technology-prof Service,$26474941.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,255,Dues,$25269.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,256,Seminar and Training Sessions,$62852.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,260,Repair and Maintenance Charges,$4556900.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,266,Maint/support-computr Hardware/soft,$5944330.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,282,Rent/lease-purchase Computer Equip,$26582.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,285,Rents,$843943.00
2016,General Operating Fund,Office of Innovation & Technology,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),$3461.00
2016,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,304,Books and Other Publications,$4442.00
2016,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,310,Electrical and Communication,$838046.00
2016,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,311,General Equipment and Machinery,$60.00
2016,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,312,Fire Fighting and Safety,$19200.00
2016,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,320,Office Materials and Supplies,$55006.00
2016,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,324,"Precision, Photographic and Artists",$36323.00
2016,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,325,Printing,$885.00
2016,General Operating Fund,Office of Innovation & Technology,3,Materials and Supplies,399,Other Materials and Supplies (noc),$4118.00
2016,General Operating Fund,Office of Innovation & Technology,4,Equipment,410,Electrical Lighting Communication,$510005.00
2016,General Operating Fund,Office of Innovation & Technology,4,Equipment,420,Office Equipment,$743.00
2016,General Operating Fund,Office of Innovation & Technology,4,Equipment,423,Plumbing/air Conditioning/space Htg,$85000.00
2016,General Operating Fund,Office of Innovation & Technology,4,Equipment,427,Computer Equipment & Peripherals,$6627909.00
2016,General Operating Fund,Office of Innovation & Technology,4,Equipment,430,Furniture and Furnishings,$1416614.00
2016,General Operating Fund,Mayor's Office,1,Personal Services,100,Salary Control,$296572.00
2016,General Operating Fund,Mayor's Office,1,Personal Services,101,Perm Full Time-civilian,$3644552.00
2016,General Operating Fund,Mayor's Office,2,Purchase of Services,210,Postage,$1194.00
2016,General Operating Fund,Mayor's Office,2,Purchase of Services,211,Transportation,$25435.00
2016,General Operating Fund,Mayor's Office,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,$3442.00
2016,General Operating Fund,Mayor's Office,2,Purchase of Services,250,Professional Consult/spec Services,$876290.00
2016,General Operating Fund,Mayor's Office,2,Purchase of Services,255,Dues,$87475.00
2016,General Operating Fund,Mayor's Office,2,Purchase of Services,256,Seminar and Training Sessions,$3500.00
2016,General Operating Fund,Mayor's Office,2,Purchase of Services,260,Repair and Maintenance Charges,$20000.00
2016,General Operating Fund,Mayor's Office,2,Purchase of Services,266,Maint/support-computr Hardware/soft,$23000.00
2016,General Operating Fund,Mayor's Office,3,Materials and Supplies,304,Books and Other Publications,$3262.00
2016,General Operating Fund,Mayor's Office,3,Materials and Supplies,320,Office Materials and Supplies,$27528.00
2016,General Operating Fund,Mayor's Office,3,Materials and Supplies,324,"Precision, Photographic and Artists",$1000.00
2016,General Operating Fund,Mayor's Office,3,Materials and Supplies,325,Printing,$15984.00
2016,General Operating Fund,Mayor's Office,4,Equipment,420,Office Equipment,$2391.00
2016,General Operating Fund,Mayor's Office,5,"Contributions, Indemnities, Refunds, Taxes",504,Meritorious Awards,$200000.00
2016,General Operating Fund,Office of Housing,2,Purchase of Services,250,Professional Consult/spec Services,$3590000.00
2016,General Operating Fund,Mayor's Office-community Services,2,Purchase of Services,250,Professional Consult/spec Services,$605000.00
2016,General Operating Fund,Managing Director,1,Personal Services,101,Perm Full Time-civilian,$16061186.00
2016,General Operating Fund,Managing Director,1,Personal Services,121,Temporary Seasonal,$354633.00
2016,General Operating Fund,Managing Director,1,Personal Services,161,Overtime Civilian,$397676.00
2016,General Operating Fund,Managing Director,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",$4000.00
2016,General Operating Fund,Managing Director,1,Personal Services,181,Shift,$1798.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,209,Telephone,$13540.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,210,Postage,$10612.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,211,Transportation,$116443.00
2016,General Operating Fund,Fire,2,Purchase of Services,210,Postage,$2418.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,216,Commercial Off-shelf Comp Software,$162783.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,250,Professional Consult/spec Services,$8460841.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,251,Information Technology-prof Service,$48900.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,253,Legal Services,$51999131.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,255,Dues,$2425.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,256,Seminar and Training Sessions,$1000.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,260,Repair and Maintenance Charges,$127291.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,266,Maint/support-computr Hardware/soft,$17816.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,285,Rents,$155293.00
2016,General Operating Fund,Managing Director,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),$229027.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,305,Building and Construction,$148130.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,$9067.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,310,Electrical and Communication,$4722.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,311,General Equipment and Machinery,$14907.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,318,"Janitorial, Laundry and Household",$118175.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,320,Office Materials and Supplies,$87222.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,324,"Precision, Photographic and Artists",$1134.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,325,Printing,$3848.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,$725.00
2016,General Operating Fund,Managing Director,3,Materials and Supplies,399,Other Materials and Supplies (noc),$70025.00
2016,General Operating Fund,Managing Director,4,Equipment,420,Office Equipment,$28918.00
2016,General Operating Fund,Managing Director,4,Equipment,427,Computer Equipment & Peripherals,$18899.00
2016,General Operating Fund,Managing Director,4,Equipment,430,Furniture and Furnishings,$24090.00
2016,General Operating Fund,Managing Director,4,Equipment,499,Other Equipment (noc),$60417.00
2016,General Operating Fund,Police,1,Personal Services,100,Salary Control,$8484065.00
2016,General Operating Fund,Police,1,Personal Services,101,Perm Full Time-civilian,$36810685.00
2016,General Operating Fund,Police,1,Personal Services,105,Perm Full Time-uniform,$444310438.00
2016,General Operating Fund,Police,1,Personal Services,110,Uniform Stress Pay,$33083214.00
2016,General Operating Fund,Police,1,Personal Services,141,School Crossing Guards,$11823049.00
2016,General Operating Fund,Police,1,Personal Services,152,Uniform Iod Pay (heart & Lung),$17816000.00
2016,General Operating Fund,Police,1,Personal Services,161,Overtime Civilian,$1637300.00
2016,General Operating Fund,Police,1,Personal Services,165,Overtime Shift Uniform,$47541608.00
2016,General Operating Fund,Police,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",$17464432.00
2016,General Operating Fund,Police,1,Personal Services,175,Holiday Pay-annual,$3107684.00
2016,General Operating Fund,Police,1,Personal Services,181,Shift,$247703.00
2016,General Operating Fund,Police,2,Purchase of Services,201,Cleaning and Laundering,$3000000.00
2016,General Operating Fund,Police,2,Purchase of Services,202,Janitorial Services,$7800.00
2016,General Operating Fund,Police,2,Purchase of Services,205,Refuse/garbage/silt/sludge Removal,$71266.00
2016,General Operating Fund,Police,2,Purchase of Services,209,Telephone,$4918.00
2016,General Operating Fund,Police,2,Purchase of Services,210,Postage,$112000.00
2016,General Operating Fund,Police,2,Purchase of Services,211,Transportation,$124000.00
2016,General Operating Fund,Police,2,Purchase of Services,212,Return of Fugitives,$82000.00
2016,General Operating Fund,Police,2,Purchase of Services,216,Commercial Off-shelf Comp Software,$26000.00
2016,General Operating Fund,Police,2,Purchase of Services,231,Overtime Meals,$338308.00
2016,General Operating Fund,Police,2,Purchase of Services,240,Advertising/promotional Activities,$5000.00
2016,General Operating Fund,Police,2,Purchase of Services,250,Professional Consult/spec Services,$2128147.00
2016,General Operating Fund,Police,2,Purchase of Services,251,Information Technology-prof Service,$97594.00
2016,General Operating Fund,Police,2,Purchase of Services,255,Dues,$5100.00
2016,General Operating Fund,Police,2,Purchase of Services,256,Seminar and Training Sessions,$288000.00
2016,General Operating Fund,Police,2,Purchase of Services,260,Repair and Maintenance Charges,$809938.00
2016,General Operating Fund,Police,2,Purchase of Services,266,Maint/support-computr Hardware/soft,$8200.00
2016,General Operating Fund,Police,2,Purchase of Services,285,Rents,$153736.00
2016,General Operating Fund,Police,2,Purchase of Services,295,Purchase Services-imprest Advances,$800.00
2016,General Operating Fund,Police,3,Materials and Supplies,302,"Animal, Livestock and Marine Life",$175000.00
2016,General Operating Fund,Police,3,Materials and Supplies,304,Books and Other Publications,$54275.00
2016,General Operating Fund,Police,3,Materials and Supplies,305,Building and Construction,$43544.00
2016,General Operating Fund,Police,3,Materials and Supplies,307,Chemicals and Gases,$22323.00
2016,General Operating Fund,Police,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,$5612534.00
2016,General Operating Fund,Police,3,Materials and Supplies,309,Cordage and Fibers,$6544.00
2016,General Operating Fund,Police,3,Materials and Supplies,310,Electrical and Communication,$52507.00
2016,General Operating Fund,Police,3,Materials and Supplies,311,General Equipment and Machinery,$41800.00
2016,General Operating Fund,Police,3,Materials and Supplies,312,Fire Fighting and Safety,$2039356.00
2016,General Operating Fund,Police,3,Materials and Supplies,313,Food,$198550.00
2016,General Operating Fund,Police,3,Materials and Supplies,316,General Hardware and Minor Tools,$6000.00
2016,General Operating Fund,Police,3,Materials and Supplies,317,Hospital and Laboratory,$832824.00
2016,General Operating Fund,Police,3,Materials and Supplies,318,"Janitorial, Laundry and Household",$264123.00
2016,General Operating Fund,Police,3,Materials and Supplies,319,Nautical and Aeronautical,$352185.00
2016,General Operating Fund,Police,3,Materials and Supplies,320,Office Materials and Supplies,$516328.00
2016,General Operating Fund,Police,3,Materials and Supplies,322,Small Power Tools and Hand Tools,$3615.00
2016,General Operating Fund,Police,3,Materials and Supplies,324,"Precision, Photographic and Artists",$1043793.00
2016,General Operating Fund,Police,3,Materials and Supplies,325,Printing,$159970.00
2016,General Operating Fund,Police,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,$30892.00
2016,General Operating Fund,Police,3,Materials and Supplies,335,Lubricants,$196.00
2016,General Operating Fund,Police,3,Materials and Supplies,342,Liquid Propane Gas (lpg),$5048.00
2016,General Operating Fund,Police,3,Materials and Supplies,345,Gasoline,$135000.00
2016,General Operating Fund,Police,4,Equipment,410,Electrical Lighting Communication,$4355.00
2016,General Operating Fund,Police,4,Equipment,411,General Equipment and Machinery,$520.00
2016,General Operating Fund,Police,4,Equipment,412,Fire Fighting and Emergency,$1069018.00
2016,General Operating Fund,Police,4,Equipment,417,Hospital and Laboratory,$2760.00
2016,General Operating Fund,Police,4,Equipment,420,Office Equipment,$83392.00
2016,General Operating Fund,Police,4,Equipment,424,"Precision, Photographic and Artist",$501500.00
2016,General Operating Fund,Police,4,Equipment,427,Computer Equipment & Peripherals,$50000.00
2016,General Operating Fund,Police,4,Equipment,430,Furniture and Furnishings,$110000.00
2016,General Operating Fund,Police,4,Equipment,499,Other Equipment (noc),$3000.00
2016,General Operating Fund,Streets,1,Personal Services,100,Salary Control,$507350.00
2016,General Operating Fund,Streets,1,Personal Services,101,Perm Full Time-civilian,$63691599.00
2016,General Operating Fund,Streets,1,Personal Services,121,Temporary Seasonal,$281395.00
2016,General Operating Fund,Streets,1,Personal Services,161,Overtime Civilian,$7810759.00
2016,General Operating Fund,Streets,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",$175130.00
2016,General Operating Fund,Streets,1,Personal Services,181,Shift,$257899.00
2016,General Operating Fund,Streets,2,Purchase of Services,201,Cleaning and Laundering,$6178.00
2016,General Operating Fund,Streets,2,Purchase of Services,205,Refuse/garbage/silt/sludge Removal,$38039819.00
2016,General Operating Fund,Streets,2,Purchase of Services,209,Telephone,$621.00
2016,General Operating Fund,Streets,2,Purchase of Services,210,Postage,$1000.00
2016,General Operating Fund,Streets,2,Purchase of Services,211,Transportation,$35439.00
2016,General Operating Fund,Streets,2,Purchase of Services,215,Licenses Permits Inspection Charges,$1350.00
2016,General Operating Fund,Streets,2,Purchase of Services,240,Advertising/promotional Activities,$477891.00
2016,General Operating Fund,Streets,2,Purchase of Services,250,Professional Consult/spec Services,$3957030.00
2016,General Operating Fund,Streets,2,Purchase of Services,255,Dues,$12510.00
2016,General Operating Fund,Streets,2,Purchase of Services,256,Seminar and Training Sessions,$44335.00
2016,General Operating Fund,Streets,2,Purchase of Services,257,Architectural & Engineering Srvcs,$20000.00
2016,General Operating Fund,Streets,2,Purchase of Services,260,Repair and Maintenance Charges,$868798.00
2016,General Operating Fund,Streets,2,Purchase of Services,285,Rents,$5346493.00
2016,General Operating Fund,Streets,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),$7991.00
2016,General Operating Fund,Streets,3,Materials and Supplies,304,Books and Other Publications,$19109.00
2016,General Operating Fund,Streets,3,Materials and Supplies,305,Building and Construction,$1019273.00
2016,General Operating Fund,Streets,3,Materials and Supplies,307,Chemicals and Gases,$18334.00
2016,General Operating Fund,Streets,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,$192666.00
2016,General Operating Fund,Streets,3,Materials and Supplies,309,Cordage and Fibers,$728.00
2016,General Operating Fund,Streets,3,Materials and Supplies,310,Electrical and Communication,$773316.00
2016,General Operating Fund,Streets,3,Materials and Supplies,311,General Equipment and Machinery,$46686.00
2016,General Operating Fund,Streets,3,Materials and Supplies,312,Fire Fighting and Safety,$27154.00
2016,General Operating Fund,Streets,3,Materials and Supplies,313,Food,$200.00
2016,General Operating Fund,Streets,3,Materials and Supplies,314,Fuel -- Heating and Lighting,$313625.00
2016,General Operating Fund,Streets,3,Materials and Supplies,316,General Hardware and Minor Tools,$325448.00
2016,General Operating Fund,Streets,3,Materials and Supplies,317,Hospital and Laboratory,$10520.00
2016,General Operating Fund,Streets,3,Materials and Supplies,318,"Janitorial, Laundry and Household",$180682.00
2016,General Operating Fund,Streets,3,Materials and Supplies,320,Office Materials and Supplies,$102764.00
2016,General Operating Fund,Streets,3,Materials and Supplies,322,Small Power Tools and Hand Tools,$70426.00
2016,General Operating Fund,Streets,3,Materials and Supplies,323,Plumbing/air Conditioning/space Htg,$59315.00
2016,General Operating Fund,Streets,3,Materials and Supplies,324,"Precision, Photographic and Artists",$85102.00
2016,General Operating Fund,Streets,3,Materials and Supplies,325,Printing,$55379.00
2016,General Operating Fund,Streets,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,$16500.00
2016,General Operating Fund,Streets,3,Materials and Supplies,335,Lubricants,$269.00
2016,General Operating Fund,Streets,3,Materials and Supplies,342,Liquid Propane Gas (lpg),$13915.00
2016,General Operating Fund,Streets,3,Materials and Supplies,399,Other Materials and Supplies (noc),$38328.00
2016,General Operating Fund,Streets,4,Equipment,405,"Construction, Dredging, Conveying",$2455.00
2016,General Operating Fund,Streets,4,Equipment,410,Electrical Lighting Communication,$23293.00
2016,General Operating Fund,Streets,4,Equipment,411,General Equipment and Machinery,$47140.00
2016,General Operating Fund,Streets,4,Equipment,420,Office Equipment,$19393.00
2016,General Operating Fund,Streets,4,Equipment,423,Plumbing/air Conditioning/space Htg,$22294.00
2016,General Operating Fund,Streets,4,Equipment,424,"Precision, Photographic and Artist",$68956.00
2016,General Operating Fund,Streets,4,Equipment,427,Computer Equipment & Peripherals,$372.00
2016,General Operating Fund,Streets,4,Equipment,428,Vehicles -- Motor and Motorless,$136000.00
2016,General Operating Fund,Streets,4,Equipment,430,Furniture and Furnishings,$52943.00
2016,General Operating Fund,Streets,4,Equipment,499,Other Equipment (noc),$67377.00
2016,General Operating Fund,Streets,5,"Contributions, Indemnities, Refunds, Taxes",504,Meritorious Awards,$5000.00
2016,General Operating Fund,Streets,5,"Contributions, Indemnities, Refunds, Taxes",505,Contributions-ed & Non-prof Rec Org,$48171.00
2016,General Operating Fund,Fire,1,Personal Services,100,Salary Control,$1098000.00
2016,General Operating Fund,Fire,1,Personal Services,101,Perm Full Time-civilian,$5918875.00
2016,General Operating Fund,Fire,1,Personal Services,105,Perm Full Time-uniform,$147422502.00
2016,General Operating Fund,Fire,1,Personal Services,107,Fire out of Class Prem(2hr Dif),$8845500.00
2016,General Operating Fund,Fire,1,Personal Services,131,Board,$1000.00
2016,General Operating Fund,Fire,1,Personal Services,161,Overtime Civilian,$266990.00
2016,General Operating Fund,Fire,1,Personal Services,165,Overtime Shift Uniform,$24686040.00
2016,General Operating Fund,Fire,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",$64000.00
2016,General Operating Fund,Fire,1,Personal Services,175,Holiday Pay-annual,$8780000.00
2016,General Operating Fund,Fire,1,Personal Services,181,Shift,$244000.00
2016,General Operating Fund,Fire,2,Purchase of Services,202,Janitorial Services,$3000.00
2016,General Operating Fund,Fire,2,Purchase of Services,211,Transportation,$38433.00
2016,General Operating Fund,Fire,2,Purchase of Services,250,Professional Consult/spec Services,$4388478.00
2016,General Operating Fund,Fire,2,Purchase of Services,256,Seminar and Training Sessions,$27000.00
2016,General Operating Fund,Fire,2,Purchase of Services,260,Repair and Maintenance Charges,$813458.00
2016,General Operating Fund,Fire,2,Purchase of Services,285,Rents,$17004.00
2016,General Operating Fund,Fire,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),$6802.00
2016,General Operating Fund,Fire,3,Materials and Supplies,304,Books and Other Publications,$99378.00
2016,General Operating Fund,Fire,3,Materials and Supplies,307,Chemicals and Gases,$100000.00
2016,General Operating Fund,Fire,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,$3860718.00
2016,General Operating Fund,Fire,3,Materials and Supplies,310,Electrical and Communication,$75389.00
2016,General Operating Fund,Fire,3,Materials and Supplies,312,Fire Fighting and Safety,$773581.00
2016,General Operating Fund,Fire,3,Materials and Supplies,314,Fuel -- Heating and Lighting,$74500.00
2016,General Operating Fund,Fire,3,Materials and Supplies,316,General Hardware and Minor Tools,$20000.00
2016,General Operating Fund,Fire,3,Materials and Supplies,317,Hospital and Laboratory,$1214000.00
2016,General Operating Fund,Fire,3,Materials and Supplies,318,"Janitorial, Laundry and Household",$133000.00
2016,General Operating Fund,Fire,3,Materials and Supplies,320,Office Materials and Supplies,$152678.00
2016,General Operating Fund,Fire,3,Materials and Supplies,322,Small Power Tools and Hand Tools,$5520.00
2016,General Operating Fund,Fire,3,Materials and Supplies,324,"Precision, Photographic and Artists",$95328.00
2016,General Operating Fund,Fire,3,Materials and Supplies,325,Printing,$62145.00
2016,General Operating Fund,Fire,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,$548.00
2016,General Operating Fund,Fire,3,Materials and Supplies,399,Other Materials and Supplies (noc),$6285.00
2016,General Operating Fund,Fire,4,Equipment,412,Fire Fighting and Emergency,$588739.00
2016,General Operating Fund,Fire,4,Equipment,417,Hospital and Laboratory,$200000.00
2016,General Operating Fund,Fire,4,Equipment,420,Office Equipment,$46308.00
2016,General Operating Fund,Fire,4,Equipment,427,Computer Equipment & Peripherals,$5273.00
2016,General Operating Fund,Fire,4,Equipment,430,Furniture and Furnishings,$59778.00
2016,General Operating Fund,Fire,4,Equipment,499,Other Equipment (noc),$38902.00
2016,General Operating Fund,Fire,8,Payments to Other Funds,803,Payments to Water Fund,$8847226.00
2016,General Operating Fund,Health,1,Personal Services,100,Salary Control,$335200.00
2016,General Operating Fund,Health,1,Personal Services,101,Perm Full Time-civilian,$39990694.00
2016,General Operating Fund,Health,1,Personal Services,111,Perm Part Time,$8103852.00
2016,General Operating Fund,Health,1,Personal Services,121,Temporary Seasonal,$152000.00
2016,General Operating Fund,Health,1,Personal Services,161,Overtime Civilian,$1668900.00
2016,General Operating Fund,Health,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",$19300.00
2016,General Operating Fund,Health,1,Personal Services,181,Shift,$28308.00
2016,General Operating Fund,Health,2,Purchase of Services,201,Cleaning and Laundering,$600.00
2016,General Operating Fund,Health,2,Purchase of Services,202,Janitorial Services,$20500.00
2016,General Operating Fund,Health,2,Purchase of Services,205,Refuse/garbage/silt/sludge Removal,$181967.00
2016,General Operating Fund,Health,2,Purchase of Services,209,Telephone,$99648.00
2016,General Operating Fund,Health,2,Purchase of Services,210,Postage,$5671.00
2016,General Operating Fund,Health,2,Purchase of Services,211,Transportation,$42950.00
2016,General Operating Fund,Health,2,Purchase of Services,215,Licenses Permits Inspection Charges,$26220.00
2016,General Operating Fund,Health,2,Purchase of Services,216,Commercial Off-shelf Comp Software,$64958.00
2016,General Operating Fund,Health,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,$14775.00
2016,General Operating Fund,Health,2,Purchase of Services,240,Advertising/promotional Activities,$1500.00
2016,General Operating Fund,Health,2,Purchase of Services,250,Professional Consult/spec Services,$57927997.00
2016,General Operating Fund,Health,2,Purchase of Services,251,Information Technology-prof Service,$551460.00
2016,General Operating Fund,Health,2,Purchase of Services,252,Accounting and Auditing Services,$10000.00
2016,General Operating Fund,Health,2,Purchase of Services,255,Dues,$5640.00
2016,General Operating Fund,Health,2,Purchase of Services,256,Seminar and Training Sessions,$23581.00
2016,General Operating Fund,Health,2,Purchase of Services,260,Repair and Maintenance Charges,$953875.00
2016,General Operating Fund,Health,2,Purchase of Services,266,Maint/support-computr Hardware/soft,$25089.00
2016,General Operating Fund,Health,2,Purchase of Services,280,Insurance and Official Bonds,$50.00
