fiscal_year,fund,department,class_id,class,subclass_id,subclass,total
2017,General Operating Fund,Mayor's Office-Labor Relations,04,Equipment,0420,Office Equipment,1600
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0100,Salary Control,43828
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0100,Salary Control,20315
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0101,Perm Full Time-Civilian,1258378
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0101,Perm Full Time-Civilian,10367264
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0101,Perm Full Time-Civilian,306800
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0101,Perm Full Time-Civilian,6656623
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0109,Plus/Minus Gross Adj,91251
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0109,Plus/Minus Gross Adj,44144
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0109,Plus/Minus Gross Adj,15199
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0111,Perm Part Time,10155
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0111,Perm Part Time,235647
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0121,Temporary/Seasonal,17507
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0121,Temporary/Seasonal,75802
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0161,Overtime-Civilian,569192
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0161,Overtime-Civilian,195642
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0161,Overtime-Civilian,91650
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0171,"Holiday ""G""(2/3 Shifts)",19238
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0171,"Holiday ""G""(2/3 Shifts)",27768
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0171,"Holiday ""G""(2/3 Shifts)",3836
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0181,Shift,5178
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0181,Shift,4208
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0181,Shift,1507
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0199,Sick Pay(b Time)-Civilian,5197
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0199,Sick Pay(b Time)-Civilian,15679
2017,General Operating Fund,Office of Innovation & Technology,01,Personal Services,0199,Sick Pay(b Time)-Civilian,7710
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0209,Telephone,10108120
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0209,Telephone,2120478
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0210,Postage,3000
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0211,Transportation,1742
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0211,Transportation,10950
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0216,Commercial Off-Shelf Comp Software,114004
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0216,Commercial Off-Shelf Comp Software,23497
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0216,Commercial Off-Shelf Comp Software,1274460
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0216,Commercial Off-Shelf Comp Software,2253943
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0220,Electric Current-Structures/Streets,16000
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0230,Meals-Non-Travel & Officl Entertain,500
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0250,Professional Consult/Spec Services,74137
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0250,Professional Consult/Spec Services,7420000
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0250,Professional Consult/Spec Services,20000
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0250,Professional Consult/Spec Services,5000
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0251,Information Technology-Prof Service,1146513
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0251,Information Technology-Prof Service,4996631
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0251,Information Technology-Prof Service,506887
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0251,Information Technology-Prof Service,6289296
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0255,Dues,25268
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0255,Dues,99
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0256,Seminar and Training Sessions,53102
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0256,Seminar and Training Sessions,695
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0260,Repair and Maintenance Charges,16137
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0260,Repair and Maintenance Charges,212440
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0260,Repair and Maintenance Charges,228022
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0260,Repair and Maintenance Charges,3361723
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0266,Maint/Support-Computr Hardware/Soft,1716236
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0266,Maint/Support-Computr Hardware/Soft,2795739
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0266,Maint/Support-Computr Hardware/Soft,725923
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0266,Maint/Support-Computr Hardware/Soft,2318843
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0282,Rent/Lease-Purchase Computer Equip,37211
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0282,Rent/Lease-Purchase Computer Equip,17800
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0285,Rents,89487
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0285,Rents,794391
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0285,Rents,3600000
2017,General Operating Fund,Office of Innovation & Technology,02,Purchase of Services,0299,Other Expenses (Not Othrwse Clssfd),752169
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0304,Books and Other Publications,4442
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0310,Electrical and Communication,698127
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0310,Electrical and Communication,258757
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0310,Electrical and Communication,2540
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0311,General Equipment and Machinery,60
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0312,Fire Fighting and Safety,19152
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0320,Office Materials and Supplies,24720
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0320,Office Materials and Supplies,4167
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0320,Office Materials and Supplies,49993
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0324,"Precision, Photographic and Artists",1512
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0324,"Precision, Photographic and Artists",35794
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0325,Printing,460
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0325,Printing,425
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0342,Liquid Propane Gas (Lpg),193
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0399,Other Materials and Supplies (Noc),3329
2017,General Operating Fund,Office of Innovation & Technology,03,Materials and Supplies,0399,Other Materials and Supplies (Noc),789
2017,General Operating Fund,Office of Innovation & Technology,04,Equipment,0410,Electrical Lighting Communication,732305
2017,General Operating Fund,Office of Innovation & Technology,04,Equipment,0410,Electrical Lighting Communication,2293274
2017,General Operating Fund,Office of Innovation & Technology,04,Equipment,0420,Office Equipment,743
2017,General Operating Fund,Office of Innovation & Technology,04,Equipment,0427,Computer Equipment & Peripherals,15534520
2017,General Operating Fund,Office of Innovation & Technology,04,Equipment,0427,Computer Equipment & Peripherals,1433027
2017,General Operating Fund,Office of Innovation & Technology,04,Equipment,0427,Computer Equipment & Peripherals,31599
2017,General Operating Fund,Office of Innovation & Technology,04,Equipment,0427,Computer Equipment & Peripherals,64300
2017,General Operating Fund,Office of Innovation & Technology,04,Equipment,0430,Furniture and Furnishings,2134
2017,General Operating Fund,Office of Innovation & Technology,04,Equipment,0430,Furniture and Furnishings,895696
2017,General Operating Fund,Mayor's Office,01,Personal Services,0101,Perm Full Time-Civilian,3742849
2017,General Operating Fund,Mayor's Office,02,Purchase of Services,0210,Postage,1194
2017,General Operating Fund,Mayor's Office,02,Purchase of Services,0211,Transportation,25435
2017,General Operating Fund,Mayor's Office,02,Purchase of Services,0230,Meals-Non-Travel & Officl Entertain,3442
2017,General Operating Fund,Mayor's Office,02,Purchase of Services,0250,Professional Consult/Spec Services,300000
2017,General Operating Fund,Mayor's Office,02,Purchase of Services,0255,Dues,87475
2017,General Operating Fund,Mayor's Office,02,Purchase of Services,0256,Seminar and Training Sessions,3500
2017,General Operating Fund,Mayor's Office,02,Purchase of Services,0260,Repair and Maintenance Charges,20000
2017,General Operating Fund,Mayor's Office,02,Purchase of Services,0266,Maint/Support-Computr Hardware/Soft,23000
2017,General Operating Fund,Mayor's Office,03,Materials and Supplies,0304,Books and Other Publications,3262
2017,General Operating Fund,Mayor's Office,03,Materials and Supplies,0320,Office Materials and Supplies,31608
2017,General Operating Fund,Mayor's Office,03,Materials and Supplies,0324,"Precision, Photographic and Artists",1000
2017,General Operating Fund,Mayor's Office,03,Materials and Supplies,0325,Printing,15984
2017,General Operating Fund,Mayor's Office,04,Equipment,0420,Office Equipment,2391
2017,General Operating Fund,Mayor's Office,05,"Contributions, Indemnities, Refunds, Taxes",0504,Meritorious Awards,200000
2017,General Operating Fund,Office of Housing,02,Purchase of Services,0250,Professional Consult/Spec Services,2865000
2017,General Operating Fund,Mayor's Office-Community Services,01,Personal Services,0101,Perm Full Time-Civilian,90000
2017,General Operating Fund,Mayor's Office-Community Services,02,Purchase of Services,0250,Professional Consult/Spec Services,2435318
2017,General Operating Fund,Managing Director,01,Personal Services,0101,Perm Full Time-Civilian,8933225
2017,General Operating Fund,Managing Director,01,Personal Services,0101,Perm Full Time-Civilian,1987964
2017,General Operating Fund,Managing Director,01,Personal Services,0101,Perm Full Time-Civilian,579956
2017,General Operating Fund,Managing Director,01,Personal Services,0101,Perm Full Time-Civilian,943230
2017,General Operating Fund,Managing Director,01,Personal Services,0101,Perm Full Time-Civilian,585000
2017,General Operating Fund,Managing Director,01,Personal Services,0101,Perm Full Time-Civilian,476470
2017,General Operating Fund,Managing Director,01,Personal Services,0101,Perm Full Time-Civilian,350000
2017,General Operating Fund,Managing Director,01,Personal Services,0101,Perm Full Time-Civilian,929636
2017,General Operating Fund,Managing Director,01,Personal Services,0101,Perm Full Time-Civilian,3540435
2017,General Operating Fund,Managing Director,01,Personal Services,0121,Temporary/Seasonal,309507
2017,General Operating Fund,Managing Director,01,Personal Services,0161,Overtime-Civilian,474206
2017,General Operating Fund,Managing Director,01,Personal Services,0171,"Holiday ""G""(2/3 Shifts)",4000
2017,General Operating Fund,Managing Director,01,Personal Services,0181,Shift,1798
2017,General Operating Fund,Managing Director,02,Purchase of Services,0209,Telephone,11089
2017,General Operating Fund,Managing Director,02,Purchase of Services,0209,Telephone,1307
2017,General Operating Fund,Managing Director,02,Purchase of Services,0210,Postage,121
2017,General Operating Fund,Managing Director,02,Purchase of Services,0210,Postage,10491
2017,General Operating Fund,Managing Director,02,Purchase of Services,0211,Transportation,7830
2017,General Operating Fund,Managing Director,02,Purchase of Services,0211,Transportation,5000
2017,General Operating Fund,Managing Director,02,Purchase of Services,0211,Transportation,4188
2017,General Operating Fund,Managing Director,02,Purchase of Services,0216,Commercial Off-Shelf Comp Software,4825
2017,General Operating Fund,Managing Director,02,Purchase of Services,0250,Professional Consult/Spec Services,2639261
2017,General Operating Fund,Managing Director,02,Purchase of Services,0250,Professional Consult/Spec Services,4069942
2017,General Operating Fund,Managing Director,02,Purchase of Services,0250,Professional Consult/Spec Services,912000
2017,General Operating Fund,Managing Director,02,Purchase of Services,0250,Professional Consult/Spec Services,225000
2017,General Operating Fund,Managing Director,02,Purchase of Services,0250,Professional Consult/Spec Services,441700
2017,General Operating Fund,Managing Director,02,Purchase of Services,0250,Professional Consult/Spec Services,234281
2017,General Operating Fund,Managing Director,02,Purchase of Services,0250,Professional Consult/Spec Services,683000
2017,General Operating Fund,Managing Director,02,Purchase of Services,0250,Professional Consult/Spec Services,128930
2017,General Operating Fund,Managing Director,02,Purchase of Services,0251,Information Technology-Prof Service,190365
2017,General Operating Fund,Managing Director,02,Purchase of Services,0251,Information Technology-Prof Service,41500
2017,General Operating Fund,Managing Director,02,Purchase of Services,0253,Legal Services,45793831
2017,General Operating Fund,Managing Director,02,Purchase of Services,0253,Legal Services,8840000
2017,General Operating Fund,Managing Director,02,Purchase of Services,0255,Dues,925
2017,General Operating Fund,Managing Director,02,Purchase of Services,0256,Seminar and Training Sessions,1000
2017,General Operating Fund,Managing Director,02,Purchase of Services,0256,Seminar and Training Sessions,10000
2017,General Operating Fund,Managing Director,02,Purchase of Services,0260,Repair and Maintenance Charges,4178
2017,General Operating Fund,Managing Director,02,Purchase of Services,0260,Repair and Maintenance Charges,118743
2017,General Operating Fund,Managing Director,02,Purchase of Services,0277,Witness Fees,360000
2017,General Operating Fund,Managing Director,02,Purchase of Services,0285,Rents,48097
2017,General Operating Fund,Managing Director,02,Purchase of Services,0299,Other Expenses (Not Othrwse Clssfd),54792
2017,General Operating Fund,Managing Director,02,Purchase of Services,0299,Other Expenses (Not Othrwse Clssfd),80836
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0305,Building and Construction,148130
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0308,Dry Goods/Notions/Wearing Apparel,870
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0308,Dry Goods/Notions/Wearing Apparel,8197
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0310,Electrical and Communication,82
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0311,General Equipment and Machinery,14907
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0313,Food,13500
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0318,"Janitorial, Laundry and Household",118175
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0320,Office Materials and Supplies,52300
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0320,Office Materials and Supplies,4000
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0320,Office Materials and Supplies,19318
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0320,Office Materials and Supplies,10190
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0324,"Precision, Photographic and Artists",1134
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0325,Printing,2291
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0325,Printing,1433
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0328,Motor Vehicle Parts and Accessories,3725
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0399,Other Materials and Supplies (Noc),43715
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0399,Other Materials and Supplies (Noc),20000
2017,General Operating Fund,Managing Director,03,Materials and Supplies,0399,Other Materials and Supplies (Noc),45988
2017,General Operating Fund,Managing Director,04,Equipment,0420,Office Equipment,6918
2017,General Operating Fund,Managing Director,04,Equipment,0427,Computer Equipment & Peripherals,13369
2017,General Operating Fund,Managing Director,04,Equipment,0427,Computer Equipment & Peripherals,4530
2017,General Operating Fund,Managing Director,04,Equipment,0428,Vehicles -- Motor and Motorless,28000
2017,General Operating Fund,Managing Director,04,Equipment,0430,Furniture and Furnishings,14800
2017,General Operating Fund,Managing Director,04,Equipment,0430,Furniture and Furnishings,1290
2017,General Operating Fund,Managing Director,04,Equipment,0499,Other Equipment (Noc),105000
2017,General Operating Fund,Managing Director,04,Equipment,0499,Other Equipment (Noc),1680
2017,General Operating Fund,Managing Director,04,Equipment,0499,Other Equipment (Noc),120237
2017,General Operating Fund,Police,01,Personal Services,0100,Salary Control,2800000
2017,General Operating Fund,Police,01,Personal Services,0100,Salary Control,5069611
2017,General Operating Fund,Police,01,Personal Services,0100,Salary Control,462000
2017,General Operating Fund,Police,01,Personal Services,0101,Perm Full Time-Civilian,6493226
2017,General Operating Fund,Police,01,Personal Services,0101,Perm Full Time-Civilian,22348492
2017,General Operating Fund,Police,01,Personal Services,0101,Perm Full Time-Civilian,5089830
2017,General Operating Fund,Police,01,Personal Services,0105,Perm Full Time-Uniform,39423583
2017,General Operating Fund,Police,01,Personal Services,0105,Perm Full Time-Uniform,31193598
2017,General Operating Fund,Police,01,Personal Services,0105,Perm Full Time-Uniform,377323571
2017,General Operating Fund,Police,01,Personal Services,0109,Plus/Minus Gross Adj,423845
2017,General Operating Fund,Police,01,Personal Services,0109,Plus/Minus Gross Adj,1174480
2017,General Operating Fund,Police,01,Personal Services,0109,Plus/Minus Gross Adj,341450
2017,General Operating Fund,Police,01,Personal Services,0110,Uniform Stress Pay,1955140
2017,General Operating Fund,Police,01,Personal Services,0110,Uniform Stress Pay,2164220
2017,General Operating Fund,Police,01,Personal Services,0110,Uniform Stress Pay,28040419
2017,General Operating Fund,Police,01,Personal Services,0141,School Crossing Guards,11541850
2017,General Operating Fund,Police,01,Personal Services,0151,Reg -Rate 1,7000
2017,General Operating Fund,Police,01,Personal Services,0152,Uniform Iod Pay (Heart & Lung),3660695
2017,General Operating Fund,Police,01,Personal Services,0152,Uniform Iod Pay (Heart & Lung),14245986
2017,General Operating Fund,Police,01,Personal Services,0152,Uniform Iod Pay (Heart & Lung),363319
2017,General Operating Fund,Police,01,Personal Services,0161,Overtime-Civilian,3572908
2017,General Operating Fund,Police,01,Personal Services,0161,Overtime-Civilian,235000
2017,General Operating Fund,Police,01,Personal Services,0161,Overtime-Civilian,205000
2017,General Operating Fund,Police,01,Personal Services,0165,Overtime/Shift-Uniform,1903160
2017,General Operating Fund,Police,01,Personal Services,0165,Overtime/Shift-Uniform,2833775
2017,General Operating Fund,Police,01,Personal Services,0165,Overtime/Shift-Uniform,44439565
2017,General Operating Fund,Police,01,Personal Services,0167,Overtime-2.5x Hourly Rate,4939
2017,General Operating Fund,Police,01,Personal Services,0167,Overtime-2.5x Hourly Rate,3883
2017,General Operating Fund,Police,01,Personal Services,0167,Overtime-2.5x Hourly Rate,459178
2017,General Operating Fund,Police,01,Personal Services,0171,"Holiday ""G""(2/3 Shifts)",668500
2017,General Operating Fund,Police,01,Personal Services,0171,"Holiday ""G""(2/3 Shifts)",130000
2017,General Operating Fund,Police,01,Personal Services,0171,"Holiday ""G""(2/3 Shifts)",65000
2017,General Operating Fund,Police,01,Personal Services,0175,Holiday Pay-Annual,17455935
2017,General Operating Fund,Police,01,Personal Services,0175,Holiday Pay-Annual,1342350
2017,General Operating Fund,Police,01,Personal Services,0175,Holiday Pay-Annual,1715880
2017,General Operating Fund,Police,01,Personal Services,0181,Shift,210703
2017,General Operating Fund,Police,01,Personal Services,0181,Shift,11000
2017,General Operating Fund,Police,01,Personal Services,0181,Shift,26000
2017,General Operating Fund,Police,01,Personal Services,0199,Sick Pay(b Time)-Civilian,12020
2017,General Operating Fund,Police,01,Personal Services,0199,Sick Pay(b Time)-Civilian,26000
2017,General Operating Fund,Police,02,Purchase of Services,0201,Cleaning and Laundering,2604000
2017,General Operating Fund,Police,02,Purchase of Services,0201,Cleaning and Laundering,285500
2017,General Operating Fund,Police,02,Purchase of Services,0201,Cleaning and Laundering,193000
2017,General Operating Fund,Police,02,Purchase of Services,0202,Janitorial Services,7000
2017,General Operating Fund,Police,02,Purchase of Services,0205,Refuse/Garbage/Silt/Sludge Removal,16355
2017,General Operating Fund,Police,02,Purchase of Services,0205,Refuse/Garbage/Silt/Sludge Removal,10725
2017,General Operating Fund,Police,02,Purchase of Services,0205,Refuse/Garbage/Silt/Sludge Removal,33236
2017,General Operating Fund,Police,02,Purchase of Services,0209,Telephone,2352
2017,General Operating Fund,Police,02,Purchase of Services,0210,Postage,110000
2017,General Operating Fund,Police,02,Purchase of Services,0211,Transportation,97448
2017,General Operating Fund,Police,02,Purchase of Services,0211,Transportation,12000
2017,General Operating Fund,Police,02,Purchase of Services,0211,Transportation,3103
2017,General Operating Fund,Police,02,Purchase of Services,0212,Return of Fugitives,63513
2017,General Operating Fund,Police,02,Purchase of Services,0216,Commercial Off-Shelf Comp Software,231843
2017,General Operating Fund,Police,02,Purchase of Services,0216,Commercial Off-Shelf Comp Software,10534
2017,General Operating Fund,Police,02,Purchase of Services,0231,Overtime Meals,387000
2017,General Operating Fund,Police,02,Purchase of Services,0240,Advertising/Promotional Activities,1500
2017,General Operating Fund,Police,02,Purchase of Services,0250,Professional Consult/Spec Services,1291748
2017,General Operating Fund,Police,02,Purchase of Services,0250,Professional Consult/Spec Services,199035
2017,General Operating Fund,Police,02,Purchase of Services,0250,Professional Consult/Spec Services,524000
2017,General Operating Fund,Police,02,Purchase of Services,0251,Information Technology-Prof Service,720
2017,General Operating Fund,Police,02,Purchase of Services,0251,Information Technology-Prof Service,81382
2017,General Operating Fund,Police,02,Purchase of Services,0255,Dues,1000
2017,General Operating Fund,Police,02,Purchase of Services,0255,Dues,2000
2017,General Operating Fund,Police,02,Purchase of Services,0255,Dues,2100
2017,General Operating Fund,Police,02,Purchase of Services,0256,Seminar and Training Sessions,20000
2017,General Operating Fund,Police,02,Purchase of Services,0256,Seminar and Training Sessions,280000
2017,General Operating Fund,Police,02,Purchase of Services,0256,Seminar and Training Sessions,325
2017,General Operating Fund,Police,02,Purchase of Services,0260,Repair and Maintenance Charges,188786
2017,General Operating Fund,Police,02,Purchase of Services,0260,Repair and Maintenance Charges,275908
2017,General Operating Fund,Police,02,Purchase of Services,0260,Repair and Maintenance Charges,290005
2017,General Operating Fund,Police,02,Purchase of Services,0266,Maint/Support-Computr Hardware/Soft,6480
2017,General Operating Fund,Police,02,Purchase of Services,0266,Maint/Support-Computr Hardware/Soft,8074
2017,General Operating Fund,Police,02,Purchase of Services,0285,Rents,15375
2017,General Operating Fund,Police,02,Purchase of Services,0285,Rents,3600
2017,General Operating Fund,Police,02,Purchase of Services,0285,Rents,203160
2017,General Operating Fund,Police,03,Materials and Supplies,0302,"Animal, Livestock and Marine Life",150000
2017,General Operating Fund,Police,03,Materials and Supplies,0304,Books and Other Publications,1500
2017,General Operating Fund,Police,03,Materials and Supplies,0304,Books and Other Publications,470
2017,General Operating Fund,Police,03,Materials and Supplies,0304,Books and Other Publications,56409
2017,General Operating Fund,Police,03,Materials and Supplies,0305,Building and Construction,3681
2017,General Operating Fund,Police,03,Materials and Supplies,0305,Building and Construction,38888
2017,General Operating Fund,Police,03,Materials and Supplies,0307,Chemicals and Gases,12760
2017,General Operating Fund,Police,03,Materials and Supplies,0307,Chemicals and Gases,4460
2017,General Operating Fund,Police,03,Materials and Supplies,0307,Chemicals and Gases,1500
2017,General Operating Fund,Police,03,Materials and Supplies,0308,Dry Goods/Notions/Wearing Apparel,1936039
2017,General Operating Fund,Police,03,Materials and Supplies,0308,Dry Goods/Notions/Wearing Apparel,244835
