FY,FM,Char,Character Title,Sub-obj,Sub-object Title,Fund,Dept,Original Appn Balance,Total  (Original Appn Balance) No.8,Total  (Original Appn Balance) No.7,Total  (Original Appn Balance) No.6,Total  (Original Appn Balance) No.5,Total  (Original Appn Balance) No.4,Total  (Original Appn Balance) No.3,Total  (Original Appn Balance) No.2,Total  (Original Appn Balance) No.1,Fund Title,Department Title
2018,1,9,09 ADVANCES & OTHER MISC PAYMENTS,999,STANDBY AUTHORIZATIONS              0999,10,1,100,17707946,17707946,17707946,17707946,100,100,100,17707946,010 GENERAL OPERATING FD,01 CITY COUNCIL
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,3,4508,17712454,17712454,17712454,4508,4508,4508,4508,17712454,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,3,747333,18459787,18459787,18459787,751841,751841,1583951,747333,18459787,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,3,836618,19296405,19296405,19296405,1588459,1588459,1583951,1583951,19296405,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,2,02 PURCHASE OF SERVICES,209,TELEPHONE                           0209,10,3,1000,19297405,19297405,19297405,1589459,1000,1000,1000,19297405,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,3,1500,19298905,19298905,19298905,1590959,2500,2100,1500,19298905,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,3,600,19299505,19299505,19299505,1591559,3100,2100,2100,19299505,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,3,2500,19302005,19302005,19302005,1594059,5600,2500,2500,19302005,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,2,02 PURCHASE OF SERVICES,255,DUES                                0255,10,3,500,19302505,19302505,19302505,1594559,6100,500,500,19302505,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,3,2500,19305005,19305005,19305005,1597059,8600,11177,2500,19305005,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,3,8677,19313682,19313682,19313682,1605736,17277,11177,11177,19313682,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,3,03 MATERIALS AND SUPPLIES,304,BOOKS AND OTHER PUBLICATIONS        0304,10,3,5460,19319142,19319142,19319142,1611196,5460,5460,5460,19319142,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,3,03 MATERIALS AND SUPPLIES,313,FOOD                                0313,10,3,500,19319642,19319642,19319642,1611696,5960,500,500,19319642,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES       0320,10,3,2100,19321742,19321742,19321742,1613796,8060,2900,2100,19321742,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,3,03 MATERIALS AND SUPPLIES,320,OFFICE MATERIALS AND SUPPLIES       0320,10,3,800,19322542,19322542,19322542,1614596,8860,2900,2900,19322542,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,3,03 MATERIALS AND SUPPLIES,325,PRINTING                            0325,10,3,500,19323042,19323042,19323042,1615096,9360,1200,500,19323042,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,3,03 MATERIALS AND SUPPLIES,325,PRINTING                            0325,10,3,700,19323742,19323742,19323742,1615796,10060,1200,1200,19323742,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,4,04 EQUIPMENT,420,OFFICE EQUIPMENT                    0420,10,3,1600,19325342,19325342,19325342,1617396,1600,1600,1600,19325342,010 GENERAL OPERATING FD,03 MAYOR'S OFFICE-LABOR RELATIONS
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,4,71803,19397145,19397145,19397145,71803,71803,177584,71803,19397145,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,4,80000,19477145,19477145,19477145,151803,151803,177584,151803,19477145,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,100,SALARY CONTROL                      0100,10,4,25781,19502926,19502926,19502926,177584,177584,177584,177584,19502926,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,4,9128185,28631111,28631111,28631111,9305769,9305769,19863386,9128185,28631111,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,4,7470923,36102034,36102034,36102034,16776692,16776692,19863386,16599108,36102034,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,4,906588,37008622,37008622,37008622,17683280,17683280,19863386,17505696,37008622,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,101,PERM FULL TIME-CIVILIAN             0101,10,4,2357690,39366312,39366312,39366312,20040970,20040970,19863386,19863386,39366312,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,109,PLUS/MINUS GROSS ADJ                0109,10,4,44144,39410456,39410456,39410456,20085114,20085114,44144,44144,39410456,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,111,PERM PART TIME                      0111,10,4,15000,39425456,39425456,39425456,20100114,20100114,30000,15000,39425456,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,111,PERM PART TIME                      0111,10,4,15000,39440456,39440456,39440456,20115114,20115114,30000,30000,39440456,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,121,TEMPORARY/SEASONAL                  0121,10,4,76992,39517448,39517448,39517448,20192106,20192106,76992,76992,39517448,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,161,OVERTIME-CIVILIAN                   0161,10,4,137662,39655110,39655110,39655110,20329768,20329768,713873,137662,39655110,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,161,OVERTIME-CIVILIAN                   0161,10,4,480000,40135110,40135110,40135110,20809768,20809768,713873,617662,40135110,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,161,OVERTIME-CIVILIAN                   0161,10,4,96211,40231321,40231321,40231321,20905979,20905979,713873,713873,40231321,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,171,"HOLIDAY ""G""(2/3 SHIFTS)             0171",10,4,23000,40254321,40254321,40254321,20928979,20928979,48880,23000,40254321,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,171,"HOLIDAY ""G""(2/3 SHIFTS)             0171",10,4,5880,40260201,40260201,40260201,20934859,20934859,48880,28880,40260201,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,171,"HOLIDAY ""G""(2/3 SHIFTS)             0171",10,4,20000,40280201,40280201,40280201,20954859,20954859,48880,48880,40280201,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,181,SHIFT                               0181,10,4,4208,40284409,40284409,40284409,20959067,20959067,12188,4208,40284409,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,181,SHIFT                               0181,10,4,1980,40286389,40286389,40286389,20961047,20961047,12188,6188,40286389,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,181,SHIFT                               0181,10,4,6000,40292389,40292389,40292389,20967047,20967047,12188,12188,40292389,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,199,SICK PAY(B TIME)-CIVILIAN           0199,10,4,23956,40316345,40316345,40316345,20991003,20991003,51956,23956,40316345,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,199,SICK PAY(B TIME)-CIVILIAN           0199,10,4,8000,40324345,40324345,40324345,20999003,20999003,51956,31956,40324345,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,1,01 PERSONAL SERVICES,199,SICK PAY(B TIME)-CIVILIAN           0199,10,4,20000,40344345,40344345,40344345,21019003,21019003,51956,51956,40344345,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,201,CLEANING AND LAUNDERING             0201,10,4,30000,40374345,40374345,40374345,21049003,30000,30000,30000,40374345,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,209,TELEPHONE                           0209,10,4,1800000,42174345,42174345,42174345,22849003,1830000,11458753,1800000,42174345,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,209,TELEPHONE                           0209,10,4,9658753,51833098,51833098,51833098,32507756,11488753,11458753,11458753,51833098,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,210,POSTAGE                             0210,10,4,2750,51835848,51835848,51835848,32510506,11491503,2750,2750,51835848,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,4,500,51836348,51836348,51836348,32511006,11492003,12268,500,51836348,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,4,10268,51846616,51846616,51846616,32521274,11502271,12268,10768,51846616,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,211,TRANSPORTATION                      0211,10,4,1500,51848116,51848116,51848116,32522774,11503771,12268,12268,51848116,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFF-SHELF COMP SOFTWARE  0216,10,4,807679,52655795,52655795,52655795,33330453,12311450,7511517,807679,52655795,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFF-SHELF COMP SOFTWARE  0216,10,4,128769,52784564,52784564,52784564,33459222,12440219,7511517,936448,52784564,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFF-SHELF COMP SOFTWARE  0216,10,4,6574469,59359033,59359033,59359033,40033691,19014688,7511517,7510917,59359033,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,216,COMMERCIAL OFF-SHELF COMP SOFTWARE  0216,10,4,600,59359633,59359633,59359633,40034291,19015288,7511517,7511517,59359633,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,4,20000,59379633,59379633,59379633,40054291,19035288,106609,20000,59379633,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,4,1800,59381433,59381433,59381433,40056091,19037088,106609,21800,59381433,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,4,65000,59446433,59446433,59446433,40121091,19102088,106609,86800,59446433,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,250,PROFESSIONAL CONSULT/SPEC SERVICES  0250,10,4,19809,59466242,59466242,59466242,40140900,19121897,106609,106609,59466242,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,251,INFORMATION TECHNOLOGY-PROF SERVICE 0251,10,4,593350,60059592,60059592,60059592,40734250,19715247,20506234,593350,60059592,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,251,INFORMATION TECHNOLOGY-PROF SERVICE 0251,10,4,1679393,61738985,61738985,61738985,42413643,21394640,20506234,2272743,61738985,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,251,INFORMATION TECHNOLOGY-PROF SERVICE 0251,10,4,8388959,70127944,70127944,70127944,50802602,29783599,20506234,10661702,70127944,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,251,INFORMATION TECHNOLOGY-PROF SERVICE 0251,10,4,9844532,79972476,79972476,79972476,60647134,39628131,20506234,20506234,79972476,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,255,DUES                                0255,10,4,13675,79986151,79986151,79986151,60660809,39641806,13774,13675,79986151,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,255,DUES                                0255,10,4,99,79986250,79986250,79986250,60660908,39641905,13774,13774,79986250,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,4,33700,80019950,80019950,80019950,60694608,39675605,96096,33700,80019950,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,4,9080,80029030,80029030,80029030,60703688,39684685,96096,42780,80029030,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,256,SEMINAR AND TRAINING SESSIONS       0256,10,4,53316,80082346,80082346,80082346,60757004,39738001,96096,96096,80082346,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,4,3340578,83422924,83422924,83422924,64097582,43078579,5115956,3340578,83422924,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,4,132914,83555838,83555838,83555838,64230496,43211493,5115956,3473492,83555838,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,4,1622053,85177891,85177891,85177891,65852549,44833546,5115956,5095545,85177891,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,260,REPAIR AND MAINTENANCE CHARGES      0260,10,4,20411,85198302,85198302,85198302,65872960,44853957,5115956,5115956,85198302,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266,10,4,1634347,86832649,86832649,86832649,67507307,46488304,7436510,1634347,86832649,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266,10,4,2377730,89210379,89210379,89210379,69885037,48866034,7436510,4012077,89210379,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266,10,4,1099522,90309901,90309901,90309901,70984559,49965556,7436510,5111599,90309901,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,266,MAINT/SUPPORT-COMPUTR HARDWARE/SOFT 0266,10,4,2324911,92634812,92634812,92634812,73309470,52290467,7436510,7436510,92634812,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,282,RENT/LEASE-PURCHASE COMPUTER EQUIP  0282,10,4,7000,92641812,92641812,92641812,73316470,52297467,53310,7000,92641812,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,282,RENT/LEASE-PURCHASE COMPUTER EQUIP  0282,10,4,46310,92688122,92688122,92688122,73362780,52343777,53310,53310,92688122,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
2018,1,2,02 PURCHASE OF SERVICES,285,RENTS                               0285,10,4,784180,93472302,93472302,93472302,74146960,53127957,784180,784180,93472302,010 GENERAL OPERATING FD,04 MDO-OFFICE OF TECHNOLOGY
