"class","class_id","department","fiscal_year","fund","minor_class","minor_class_id","total"
"Personal Services","1","Office of Innovation & Technology","2016","General Operating Fund","Perm Part Time","111","104872"
"Personal Services","1","Office of Innovation & Technology","2016","General Operating Fund","Temporary Seasonal","121","214153"
"Personal Services","1","Office of Innovation & Technology","2016","General Operating Fund","Overtime Civilian","161","623185"
"Personal Services","1","Office of Innovation & Technology","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","56744"
"Personal Services","1","Office of Innovation & Technology","2016","General Operating Fund","Shift","181","13100"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Telephone","209","12387511"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Postage","210","3000"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Transportation","211","10950"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","3799054"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Electric Current-structures/streets","220","210500"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Professional Consult/spec Services","250","34137"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Information Technology-prof Service","251","26474941"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Dues","255","25269"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Seminar and Training Sessions","256","62852"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Repair and Maintenance Charges","260","4556900"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","5944330"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Rent/lease-purchase Computer Equip","282","26582"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Rents","285","843943"
"Purchase of Services","2","Office of Innovation & Technology","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","3461"
"Materials and Supplies","3","Office of Innovation & Technology","2016","General Operating Fund","Books and Other Publications","304","4442"
"Materials and Supplies","3","Office of Innovation & Technology","2016","General Operating Fund","Electrical and Communication","310","838046"
"Materials and Supplies","3","Office of Innovation & Technology","2016","General Operating Fund","General Equipment and Machinery","311","60"
"Materials and Supplies","3","Office of Innovation & Technology","2016","General Operating Fund","Fire Fighting and Safety","312","19200"
"Materials and Supplies","3","Office of Innovation & Technology","2016","General Operating Fund","Office Materials and Supplies","320","55006"
"Materials and Supplies","3","Office of Innovation & Technology","2016","General Operating Fund","Precision, Photographic and Artists","324","36323"
"Materials and Supplies","3","Office of Innovation & Technology","2016","General Operating Fund","Printing","325","885"
"Materials and Supplies","3","Office of Innovation & Technology","2016","General Operating Fund","Other Materials and Supplies (noc)","399","4118"
"Equipment","4","Office of Innovation & Technology","2016","General Operating Fund","Electrical Lighting Communication","410","510005"
"Equipment","4","Office of Innovation & Technology","2016","General Operating Fund","Office Equipment","420","743"
"Equipment","4","Office of Innovation & Technology","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","85000"
"Equipment","4","Office of Innovation & Technology","2016","General Operating Fund","Computer Equipment & Peripherals","427","6627909"
"Equipment","4","Office of Innovation & Technology","2016","General Operating Fund","Furniture and Furnishings","430","1416614"
"Personal Services","1","Mayor's Office","2016","General Operating Fund","Salary Control","100","296572"
"Personal Services","1","Mayor's Office","2016","General Operating Fund","Perm Full Time-civilian","101","3644552"
"Purchase of Services","2","Mayor's Office","2016","General Operating Fund","Postage","210","1194"
"Purchase of Services","2","Mayor's Office","2016","General Operating Fund","Transportation","211","25435"
"Purchase of Services","2","Mayor's Office","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","3442"
"Purchase of Services","2","Mayor's Office","2016","General Operating Fund","Professional Consult/spec Services","250","876290"
"Purchase of Services","2","Mayor's Office","2016","General Operating Fund","Dues","255","87475"
"Purchase of Services","2","Mayor's Office","2016","General Operating Fund","Seminar and Training Sessions","256","3500"
"Purchase of Services","2","Mayor's Office","2016","General Operating Fund","Repair and Maintenance Charges","260","20000"
"Purchase of Services","2","Mayor's Office","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","23000"
"Materials and Supplies","3","Mayor's Office","2016","General Operating Fund","Books and Other Publications","304","3262"
"Materials and Supplies","3","Mayor's Office","2016","General Operating Fund","Office Materials and Supplies","320","27528"
"Materials and Supplies","3","Mayor's Office","2016","General Operating Fund","Precision, Photographic and Artists","324","1000"
"Materials and Supplies","3","Mayor's Office","2016","General Operating Fund","Printing","325","15984"
"Equipment","4","Mayor's Office","2016","General Operating Fund","Office Equipment","420","2391"
"Contributions, Indemnities, Refunds, Taxes","5","Mayor's Office","2016","General Operating Fund","Meritorious Awards","504","200000"
"Purchase of Services","2","Office of Housing","2016","General Operating Fund","Professional Consult/spec Services","250","3590000"
"Purchase of Services","2","Mayor's Office-community Services","2016","General Operating Fund","Professional Consult/spec Services","250","605000"
"Personal Services","1","Managing Director","2016","General Operating Fund","Perm Full Time-civilian","101","16061186"
"Personal Services","1","Managing Director","2016","General Operating Fund","Temporary Seasonal","121","354633"
"Personal Services","1","Managing Director","2016","General Operating Fund","Overtime Civilian","161","397676"
"Personal Services","1","Managing Director","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","4000"
"Personal Services","1","Managing Director","2016","General Operating Fund","Shift","181","1798"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Telephone","209","13540"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Postage","210","10612"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Transportation","211","116443"
"Purchase of Services","2","Fire","2016","General Operating Fund","Postage","210","2418"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","162783"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Professional Consult/spec Services","250","8460841"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Information Technology-prof Service","251","48900"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Legal Services","253","51999131"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Dues","255","2425"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Seminar and Training Sessions","256","1000"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Repair and Maintenance Charges","260","127291"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","17816"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Rents","285","155293"
"Purchase of Services","2","Managing Director","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","229027"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","Building and Construction","305","148130"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","9067"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","Electrical and Communication","310","4722"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","General Equipment and Machinery","311","14907"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","Janitorial, Laundry and Household","318","118175"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","Office Materials and Supplies","320","87222"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","Precision, Photographic and Artists","324","1134"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","Printing","325","3848"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","Motor Vehicle Parts and Accessories","328","725"
"Materials and Supplies","3","Managing Director","2016","General Operating Fund","Other Materials and Supplies (noc)","399","70025"
"Equipment","4","Managing Director","2016","General Operating Fund","Office Equipment","420","28918"
"Equipment","4","Managing Director","2016","General Operating Fund","Computer Equipment & Peripherals","427","18899"
"Equipment","4","Managing Director","2016","General Operating Fund","Furniture and Furnishings","430","24090"
"Equipment","4","Managing Director","2016","General Operating Fund","Other Equipment (noc)","499","60417"
"Personal Services","1","Police","2016","General Operating Fund","Salary Control","100","8484065"
"Personal Services","1","Police","2016","General Operating Fund","Perm Full Time-civilian","101","36810685"
"Personal Services","1","Police","2016","General Operating Fund","Perm Full Time-uniform","105","444310438"
"Personal Services","1","Police","2016","General Operating Fund","Uniform Stress Pay","110","33083214"
"Personal Services","1","Police","2016","General Operating Fund","School Crossing Guards","141","11823049"
"Personal Services","1","Police","2016","General Operating Fund","Uniform Iod Pay (heart & Lung)","152","17816000"
"Personal Services","1","Police","2016","General Operating Fund","Overtime Civilian","161","1637300"
"Personal Services","1","Police","2016","General Operating Fund","Overtime Shift Uniform","165","47541608"
"Personal Services","1","Police","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","17464432"
"Personal Services","1","Police","2016","General Operating Fund","Holiday Pay-annual","175","3107684"
"Personal Services","1","Police","2016","General Operating Fund","Shift","181","247703"
"Purchase of Services","2","Police","2016","General Operating Fund","Cleaning and Laundering","201","3000000"
"Purchase of Services","2","Police","2016","General Operating Fund","Janitorial Services","202","7800"
"Purchase of Services","2","Police","2016","General Operating Fund","Refuse/garbage/silt/sludge Removal","205","71266"
"Purchase of Services","2","Police","2016","General Operating Fund","Telephone","209","4918"
"Purchase of Services","2","Police","2016","General Operating Fund","Postage","210","112000"
"Purchase of Services","2","Police","2016","General Operating Fund","Transportation","211","124000"
"Purchase of Services","2","Police","2016","General Operating Fund","Return of Fugitives","212","82000"
"Purchase of Services","2","Police","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","26000"
"Purchase of Services","2","Police","2016","General Operating Fund","Overtime Meals","231","338308"
"Purchase of Services","2","Police","2016","General Operating Fund","Advertising/promotional Activities","240","5000"
"Purchase of Services","2","Police","2016","General Operating Fund","Professional Consult/spec Services","250","2128147"
"Purchase of Services","2","Police","2016","General Operating Fund","Information Technology-prof Service","251","97594"
"Purchase of Services","2","Police","2016","General Operating Fund","Dues","255","5100"
"Purchase of Services","2","Police","2016","General Operating Fund","Seminar and Training Sessions","256","288000"
"Purchase of Services","2","Police","2016","General Operating Fund","Repair and Maintenance Charges","260","809938"
"Purchase of Services","2","Police","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","8200"
"Purchase of Services","2","Police","2016","General Operating Fund","Rents","285","153736"
"Purchase of Services","2","Police","2016","General Operating Fund","Purchase Services-imprest Advances","295","800"
"Materials and Supplies","3","Police","2016","General Operating Fund","Animal, Livestock and Marine Life","302","175000"
"Materials and Supplies","3","Police","2016","General Operating Fund","Books and Other Publications","304","54275"
"Materials and Supplies","3","Police","2016","General Operating Fund","Building and Construction","305","43544"
"Materials and Supplies","3","Police","2016","General Operating Fund","Chemicals and Gases","307","22323"
"Materials and Supplies","3","Police","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","5612534"
"Materials and Supplies","3","Police","2016","General Operating Fund","Cordage and Fibers","309","6544"
"Materials and Supplies","3","Police","2016","General Operating Fund","Electrical and Communication","310","52507"
"Materials and Supplies","3","Police","2016","General Operating Fund","General Equipment and Machinery","311","41800"
"Materials and Supplies","3","Police","2016","General Operating Fund","Fire Fighting and Safety","312","2039356"
"Materials and Supplies","3","Police","2016","General Operating Fund","Food","313","198550"
"Materials and Supplies","3","Police","2016","General Operating Fund","General Hardware and Minor Tools","316","6000"
"Materials and Supplies","3","Police","2016","General Operating Fund","Hospital and Laboratory","317","832824"
"Materials and Supplies","3","Police","2016","General Operating Fund","Janitorial, Laundry and Household","318","264123"
"Materials and Supplies","3","Police","2016","General Operating Fund","Nautical and Aeronautical","319","352185"
"Materials and Supplies","3","Police","2016","General Operating Fund","Office Materials and Supplies","320","516328"
"Materials and Supplies","3","Police","2016","General Operating Fund","Small Power Tools and Hand Tools","322","3615"
"Materials and Supplies","3","Police","2016","General Operating Fund","Precision, Photographic and Artists","324","1043793"
"Materials and Supplies","3","Police","2016","General Operating Fund","Printing","325","159970"
"Materials and Supplies","3","Police","2016","General Operating Fund","Motor Vehicle Parts and Accessories","328","30892"
"Materials and Supplies","3","Police","2016","General Operating Fund","Lubricants","335","196"
"Materials and Supplies","3","Police","2016","General Operating Fund","Liquid Propane Gas (lpg)","342","5048"
"Materials and Supplies","3","Police","2016","General Operating Fund","Gasoline","345","135000"
"Equipment","4","Police","2016","General Operating Fund","Electrical Lighting Communication","410","4355"
"Equipment","4","Police","2016","General Operating Fund","General Equipment and Machinery","411","520"
"Equipment","4","Police","2016","General Operating Fund","Fire Fighting and Emergency","412","1069018"
"Equipment","4","Police","2016","General Operating Fund","Hospital and Laboratory","417","2760"
"Equipment","4","Police","2016","General Operating Fund","Office Equipment","420","83392"
"Equipment","4","Police","2016","General Operating Fund","Precision, Photographic and Artist","424","501500"
"Equipment","4","Police","2016","General Operating Fund","Computer Equipment & Peripherals","427","50000"
"Equipment","4","Police","2016","General Operating Fund","Furniture and Furnishings","430","110000"
"Equipment","4","Police","2016","General Operating Fund","Other Equipment (noc)","499","3000"
"Personal Services","1","Streets","2016","General Operating Fund","Salary Control","100","507350"
"Personal Services","1","Streets","2016","General Operating Fund","Perm Full Time-civilian","101","63691599"
"Personal Services","1","Streets","2016","General Operating Fund","Temporary Seasonal","121","281395"
"Personal Services","1","Streets","2016","General Operating Fund","Overtime Civilian","161","7810759"
"Personal Services","1","Streets","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","175130"
"Personal Services","1","Streets","2016","General Operating Fund","Shift","181","257899"
"Purchase of Services","2","Streets","2016","General Operating Fund","Cleaning and Laundering","201","6178"
"Purchase of Services","2","Streets","2016","General Operating Fund","Refuse/garbage/silt/sludge Removal","205","38039819"
"Purchase of Services","2","Streets","2016","General Operating Fund","Telephone","209","621"
"Purchase of Services","2","Streets","2016","General Operating Fund","Postage","210","1000"
"Purchase of Services","2","Streets","2016","General Operating Fund","Transportation","211","35439"
"Purchase of Services","2","Streets","2016","General Operating Fund","Licenses Permits Inspection Charges","215","1350"
"Purchase of Services","2","Streets","2016","General Operating Fund","Advertising/promotional Activities","240","477891"
"Purchase of Services","2","Streets","2016","General Operating Fund","Professional Consult/spec Services","250","3957030"
"Purchase of Services","2","Streets","2016","General Operating Fund","Dues","255","12510"
"Purchase of Services","2","Streets","2016","General Operating Fund","Seminar and Training Sessions","256","44335"
"Purchase of Services","2","Streets","2016","General Operating Fund","Architectural & Engineering Srvcs","257","20000"
"Purchase of Services","2","Streets","2016","General Operating Fund","Repair and Maintenance Charges","260","868798"
"Purchase of Services","2","Streets","2016","General Operating Fund","Rents","285","5346493"
"Purchase of Services","2","Streets","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","7991"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Books and Other Publications","304","19109"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Building and Construction","305","1019273"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Chemicals and Gases","307","18334"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","192666"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Cordage and Fibers","309","728"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Electrical and Communication","310","773316"
"Materials and Supplies","3","Streets","2016","General Operating Fund","General Equipment and Machinery","311","46686"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Fire Fighting and Safety","312","27154"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Food","313","200"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Fuel -- Heating and Lighting","314","313625"
"Materials and Supplies","3","Streets","2016","General Operating Fund","General Hardware and Minor Tools","316","325448"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Hospital and Laboratory","317","10520"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Janitorial, Laundry and Household","318","180682"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Office Materials and Supplies","320","102764"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Small Power Tools and Hand Tools","322","70426"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","323","59315"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Precision, Photographic and Artists","324","85102"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Printing","325","55379"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Motor Vehicle Parts and Accessories","328","16500"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Lubricants","335","269"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Liquid Propane Gas (lpg)","342","13915"
"Materials and Supplies","3","Streets","2016","General Operating Fund","Other Materials and Supplies (noc)","399","38328"
"Equipment","4","Streets","2016","General Operating Fund","Construction, Dredging, Conveying","405","2455"
"Equipment","4","Streets","2016","General Operating Fund","Electrical Lighting Communication","410","23293"
"Equipment","4","Streets","2016","General Operating Fund","General Equipment and Machinery","411","47140"
"Equipment","4","Streets","2016","General Operating Fund","Office Equipment","420","19393"
"Equipment","4","Streets","2016","General Operating Fund","Plumbing/air Conditioning/space Htg","423","22294"
"Equipment","4","Streets","2016","General Operating Fund","Precision, Photographic and Artist","424","68956"
"Equipment","4","Streets","2016","General Operating Fund","Computer Equipment & Peripherals","427","372"
"Equipment","4","Streets","2016","General Operating Fund","Vehicles -- Motor and Motorless","428","136000"
"Equipment","4","Streets","2016","General Operating Fund","Furniture and Furnishings","430","52943"
"Equipment","4","Streets","2016","General Operating Fund","Other Equipment (noc)","499","67377"
"Contributions, Indemnities, Refunds, Taxes","5","Streets","2016","General Operating Fund","Meritorious Awards","504","5000"
"Contributions, Indemnities, Refunds, Taxes","5","Streets","2016","General Operating Fund","Contributions-ed & Non-prof Rec Org","505","48171"
"Personal Services","1","Fire","2016","General Operating Fund","Salary Control","100","1098000"
"Personal Services","1","Fire","2016","General Operating Fund","Perm Full Time-civilian","101","5918875"
"Personal Services","1","Fire","2016","General Operating Fund","Perm Full Time-uniform","105","147422502"
"Personal Services","1","Fire","2016","General Operating Fund","Fire out of Class Prem(2hr Dif)","107","8845500"
"Personal Services","1","Fire","2016","General Operating Fund","Board","131","1000"
"Personal Services","1","Fire","2016","General Operating Fund","Overtime Civilian","161","266990"
"Personal Services","1","Fire","2016","General Operating Fund","Overtime Shift Uniform","165","24686040"
"Personal Services","1","Fire","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","64000"
"Personal Services","1","Fire","2016","General Operating Fund","Holiday Pay-annual","175","8780000"
"Personal Services","1","Fire","2016","General Operating Fund","Shift","181","244000"
"Purchase of Services","2","Fire","2016","General Operating Fund","Janitorial Services","202","3000"
"Purchase of Services","2","Fire","2016","General Operating Fund","Transportation","211","38433"
"Purchase of Services","2","Fire","2016","General Operating Fund","Professional Consult/spec Services","250","4388478"
"Purchase of Services","2","Fire","2016","General Operating Fund","Seminar and Training Sessions","256","27000"
"Purchase of Services","2","Fire","2016","General Operating Fund","Repair and Maintenance Charges","260","813458"
"Purchase of Services","2","Fire","2016","General Operating Fund","Rents","285","17004"
"Purchase of Services","2","Fire","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","6802"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Books and Other Publications","304","99378"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Chemicals and Gases","307","100000"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","3860718"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Electrical and Communication","310","75389"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Fire Fighting and Safety","312","773581"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Fuel -- Heating and Lighting","314","74500"
"Materials and Supplies","3","Fire","2016","General Operating Fund","General Hardware and Minor Tools","316","20000"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Hospital and Laboratory","317","1214000"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Janitorial, Laundry and Household","318","133000"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Office Materials and Supplies","320","152678"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Small Power Tools and Hand Tools","322","5520"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Precision, Photographic and Artists","324","95328"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Printing","325","62145"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Motor Vehicle Parts and Accessories","328","548"
"Materials and Supplies","3","Fire","2016","General Operating Fund","Other Materials and Supplies (noc)","399","6285"
"Equipment","4","Fire","2016","General Operating Fund","Fire Fighting and Emergency","412","588739"
"Equipment","4","Fire","2016","General Operating Fund","Hospital and Laboratory","417","200000"
"Equipment","4","Fire","2016","General Operating Fund","Office Equipment","420","46308"
"Equipment","4","Fire","2016","General Operating Fund","Computer Equipment & Peripherals","427","5273"
"Equipment","4","Fire","2016","General Operating Fund","Furniture and Furnishings","430","59778"
"Equipment","4","Fire","2016","General Operating Fund","Other Equipment (noc)","499","38902"
"Payments to Other Funds","8","Fire","2016","General Operating Fund","Payments to Water Fund","803","8847226"
"Personal Services","1","Health","2016","General Operating Fund","Salary Control","100","335200"
"Personal Services","1","Health","2016","General Operating Fund","Perm Full Time-civilian","101","39990694"
"Personal Services","1","Health","2016","General Operating Fund","Perm Part Time","111","8103852"
"Personal Services","1","Health","2016","General Operating Fund","Temporary Seasonal","121","152000"
"Personal Services","1","Health","2016","General Operating Fund","Overtime Civilian","161","1668900"
"Personal Services","1","Health","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","19300"
"Personal Services","1","Health","2016","General Operating Fund","Shift","181","28308"
"Purchase of Services","2","Health","2016","General Operating Fund","Cleaning and Laundering","201","600"
"Purchase of Services","2","Health","2016","General Operating Fund","Janitorial Services","202","20500"
"Purchase of Services","2","Health","2016","General Operating Fund","Refuse/garbage/silt/sludge Removal","205","181967"
"Purchase of Services","2","Health","2016","General Operating Fund","Telephone","209","99648"
"Purchase of Services","2","Health","2016","General Operating Fund","Postage","210","5671"
"Purchase of Services","2","Health","2016","General Operating Fund","Transportation","211","42950"
"Purchase of Services","2","Health","2016","General Operating Fund","Licenses Permits Inspection Charges","215","26220"
"Purchase of Services","2","Health","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","64958"
"Purchase of Services","2","Health","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","14775"
"Purchase of Services","2","Health","2016","General Operating Fund","Advertising/promotional Activities","240","1500"
"Purchase of Services","2","Health","2016","General Operating Fund","Professional Consult/spec Services","250","57927997"
"Purchase of Services","2","Health","2016","General Operating Fund","Information Technology-prof Service","251","551460"
"Purchase of Services","2","Health","2016","General Operating Fund","Accounting and Auditing Services","252","10000"
"Purchase of Services","2","Health","2016","General Operating Fund","Dues","255","5640"
"Purchase of Services","2","Health","2016","General Operating Fund","Seminar and Training Sessions","256","23581"
"Purchase of Services","2","Health","2016","General Operating Fund","Repair and Maintenance Charges","260","953875"
"Purchase of Services","2","Health","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","25089"
"Purchase of Services","2","Health","2016","General Operating Fund","Insurance and Official Bonds","280","50"
"Purchase of Services","2","Health","2016","General Operating Fund","Ground and Building Rental","284","3876"
"Purchase of Services","2","Health","2016","General Operating Fund","Rents","285","42521"
"Purchase of Services","2","Health","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","546"
"Materials and Supplies","3","Health","2016","General Operating Fund","Books and Other Publications","304","17051"
"Materials and Supplies","3","Health","2016","General Operating Fund","Building and Construction","305","33600"
"Materials and Supplies","3","Health","2016","General Operating Fund","Chemicals and Gases","307","276064"
"Materials and Supplies","3","Health","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","22500"
"Materials and Supplies","3","Health","2016","General Operating Fund","Electrical and Communication","310","61451"
