fiscal_year,fund,department,class_id,class,subclass_id,subclass,total
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,266,Maint/support-computr Hardware/soft,5944330
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,282,Rent/lease-purchase Computer Equip,26582
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,285,Rents,843943
2016,General Fund,Office of Innovation and Technology,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),3461
2016,General Fund,Office of Innovation and Technology,3,Materials and Supplies,304,Books and Other Publications,4442
2016,General Fund,Office of Innovation and Technology,3,Materials and Supplies,310,Electrical and Communication,838046
2016,General Fund,Office of Innovation and Technology,3,Materials and Supplies,311,General Equipment and Machinery,60
2016,General Fund,Office of Innovation and Technology,3,Materials and Supplies,312,Fire Fighting and Safety,19200
2016,General Fund,Office of Innovation and Technology,3,Materials and Supplies,320,Office Materials and Supplies,55006
2016,General Fund,Office of Innovation and Technology,3,Materials and Supplies,324,"Precision, Photographic and Artists",36323
2016,General Fund,Office of Innovation and Technology,3,Materials and Supplies,325,Printing,885
2016,General Fund,Office of Innovation and Technology,3,Materials and Supplies,399,Other Materials and Supplies (noc),4118
2016,General Fund,Office of Innovation and Technology,4,Equipment,410,Electrical Lighting Communication,510005
2016,General Fund,Office of Innovation and Technology,4,Equipment,420,Office Equipment,743
2016,General Fund,Office of Innovation and Technology,4,Equipment,423,Plumbing/air Conditioning/space Htg,85000
2016,General Fund,Office of Innovation and Technology,4,Equipment,427,Computer Equipment & Peripherals,6627909
2016,General Fund,Office of Innovation and Technology,4,Equipment,430,Furniture and Furnishings,1416614
2016,General Fund,Mayor's Office,1,Personal Services,100,Salary Control,296572
2016,General Fund,Mayor's Office,1,Personal Services,101,Perm Full Time-civilian,3644552
2016,General Fund,Mayor's Office,2,Purchase of Services,210,Postage,1194
2016,General Fund,Mayor's Office,2,Purchase of Services,211,Transportation,25435
2016,General Fund,Mayor's Office,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,3442
2016,General Fund,Mayor's Office,2,Purchase of Services,250,Professional Consult/spec Services,876290
2016,General Fund,Mayor's Office,2,Purchase of Services,255,Dues,87475
2016,General Fund,Mayor's Office,2,Purchase of Services,256,Seminar and Training Sessions,3500
2016,General Fund,Mayor's Office,2,Purchase of Services,260,Repair and Maintenance Charges,20000
2016,General Fund,Mayor's Office,2,Purchase of Services,266,Maint/support-computr Hardware/soft,23000
2016,General Fund,Mayor's Office,3,Materials and Supplies,304,Books and Other Publications,3262
2016,General Fund,Mayor's Office,3,Materials and Supplies,320,Office Materials and Supplies,27528
2016,General Fund,Mayor's Office,3,Materials and Supplies,324,"Precision, Photographic and Artists",1000
2016,General Fund,Mayor's Office,3,Materials and Supplies,325,Printing,15984
2016,General Fund,Mayor's Office,4,Equipment,420,Office Equipment,2391
2016,General Fund,Mayor's Office,5,"Contributions, Indemnities, Refunds, Taxes",504,Meritorious Awards,200000
2016,General Fund,Office of Housing and Community Development,2,Purchase of Services,250,Professional Consult/spec Services,3590000
2016,General Fund,Mayor's Office of Community Empowerment and Opportunity,2,Purchase of Services,250,Professional Consult/spec Services,605000
2016,General Fund,Managing Director's Office,1,Personal Services,101,Perm Full Time-civilian,16061186
2016,General Fund,Managing Director's Office,1,Personal Services,121,Temporary Seasonal,354633
2016,General Fund,Managing Director's Office,1,Personal Services,161,Overtime Civilian,397676
2016,General Fund,Managing Director's Office,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",4000
2016,General Fund,Managing Director's Office,1,Personal Services,181,Shift,1798
2016,General Fund,Managing Director's Office,2,Purchase of Services,209,Telephone,13540
2016,General Fund,Managing Director's Office,2,Purchase of Services,210,Postage,10612
2016,General Fund,Managing Director's Office,2,Purchase of Services,211,Transportation,116443
2016,General Fund,Fire,2,Purchase of Services,210,Postage,2418
2016,General Fund,Managing Director's Office,2,Purchase of Services,216,Commercial Off-shelf Comp Software,162783
2016,General Fund,Managing Director's Office,2,Purchase of Services,250,Professional Consult/spec Services,8460841
2016,General Fund,Managing Director's Office,2,Purchase of Services,251,Information Technology-prof Service,48900
2016,General Fund,Managing Director's Office,2,Purchase of Services,253,Legal Services,51999131
2016,General Fund,Managing Director's Office,2,Purchase of Services,255,Dues,2425
2016,General Fund,Managing Director's Office,2,Purchase of Services,256,Seminar and Training Sessions,1000
2016,General Fund,Managing Director's Office,2,Purchase of Services,260,Repair and Maintenance Charges,127291
2016,General Fund,Managing Director's Office,2,Purchase of Services,266,Maint/support-computr Hardware/soft,17816
2016,General Fund,Managing Director's Office,2,Purchase of Services,285,Rents,155293
2016,General Fund,Managing Director's Office,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),229027
2016,General Fund,Managing Director's Office,3,Materials and Supplies,305,Building and Construction,148130
2016,General Fund,Managing Director's Office,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,9067
2016,General Fund,Managing Director's Office,3,Materials and Supplies,310,Electrical and Communication,4722
2016,General Fund,Managing Director's Office,3,Materials and Supplies,311,General Equipment and Machinery,14907
2016,General Fund,Managing Director's Office,3,Materials and Supplies,318,"Janitorial, Laundry and Household",118175
2016,General Fund,Managing Director's Office,3,Materials and Supplies,320,Office Materials and Supplies,87222
2016,General Fund,Managing Director's Office,3,Materials and Supplies,324,"Precision, Photographic and Artists",1134
2016,General Fund,Managing Director's Office,3,Materials and Supplies,325,Printing,3848
2016,General Fund,Managing Director's Office,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,725
2016,General Fund,Managing Director's Office,3,Materials and Supplies,399,Other Materials and Supplies (noc),70025
2016,General Fund,Managing Director's Office,4,Equipment,420,Office Equipment,28918
2016,General Fund,Managing Director's Office,4,Equipment,427,Computer Equipment & Peripherals,18899
2016,General Fund,Managing Director's Office,4,Equipment,430,Furniture and Furnishings,24090
2016,General Fund,Managing Director's Office,4,Equipment,499,Other Equipment (noc),60417
2016,General Fund,Police,1,Personal Services,100,Salary Control,8484065
2016,General Fund,Police,1,Personal Services,101,Perm Full Time-civilian,36810685
2016,General Fund,Police,1,Personal Services,105,Perm Full Time-uniform,444310438
2016,General Fund,Police,1,Personal Services,110,Uniform Stress Pay,33083214
2016,General Fund,Police,1,Personal Services,141,School Crossing Guards,11823049
2016,General Fund,Police,1,Personal Services,152,Uniform Iod Pay (heart & Lung),17816000
2016,General Fund,Police,1,Personal Services,161,Overtime Civilian,1637300
2016,General Fund,Police,1,Personal Services,165,Overtime Shift Uniform,47541608
2016,General Fund,Police,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",17464432
2016,General Fund,Police,1,Personal Services,175,Holiday Pay-annual,3107684
2016,General Fund,Police,1,Personal Services,181,Shift,247703
2016,General Fund,Police,2,Purchase of Services,201,Cleaning and Laundering,3000000
2016,General Fund,Police,2,Purchase of Services,202,Janitorial Services,7800
2016,General Fund,Police,2,Purchase of Services,205,Refuse/garbage/silt/sludge Removal,71266
2016,General Fund,Police,2,Purchase of Services,209,Telephone,4918
2016,General Fund,Police,2,Purchase of Services,210,Postage,112000
2016,General Fund,Police,2,Purchase of Services,211,Transportation,124000
2016,General Fund,Police,2,Purchase of Services,212,Return of Fugitives,82000
2016,General Fund,Police,2,Purchase of Services,216,Commercial Off-shelf Comp Software,26000
2016,General Fund,Police,2,Purchase of Services,231,Overtime Meals,338308
2016,General Fund,Police,2,Purchase of Services,240,Advertising/promotional Activities,5000
2016,General Fund,Police,2,Purchase of Services,250,Professional Consult/spec Services,2128147
2016,General Fund,Police,2,Purchase of Services,251,Information Technology-prof Service,97594
2016,General Fund,Police,2,Purchase of Services,255,Dues,5100
2016,General Fund,Police,2,Purchase of Services,256,Seminar and Training Sessions,288000
2016,General Fund,Police,2,Purchase of Services,260,Repair and Maintenance Charges,809938
2016,General Fund,Police,2,Purchase of Services,266,Maint/support-computr Hardware/soft,8200
2016,General Fund,Police,2,Purchase of Services,285,Rents,153736
2016,General Fund,Police,2,Purchase of Services,295,Purchase Services-imprest Advances,800
2016,General Fund,Police,3,Materials and Supplies,302,"Animal, Livestock and Marine Life",175000
2016,General Fund,Police,3,Materials and Supplies,304,Books and Other Publications,54275
2016,General Fund,Police,3,Materials and Supplies,305,Building and Construction,43544
2016,General Fund,Police,3,Materials and Supplies,307,Chemicals and Gases,22323
2016,General Fund,Police,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,5612534
2016,General Fund,Police,3,Materials and Supplies,309,Cordage and Fibers,6544
2016,General Fund,Police,3,Materials and Supplies,310,Electrical and Communication,52507
2016,General Fund,Police,3,Materials and Supplies,311,General Equipment and Machinery,41800
2016,General Fund,Police,3,Materials and Supplies,312,Fire Fighting and Safety,2039356
2016,General Fund,Police,3,Materials and Supplies,313,Food,198550
2016,General Fund,Police,3,Materials and Supplies,316,General Hardware and Minor Tools,6000
2016,General Fund,Police,3,Materials and Supplies,317,Hospital and Laboratory,832824
2016,General Fund,Police,3,Materials and Supplies,318,"Janitorial, Laundry and Household",264123
2016,General Fund,Police,3,Materials and Supplies,319,Nautical and Aeronautical,352185
2016,General Fund,Police,3,Materials and Supplies,320,Office Materials and Supplies,516328
2016,General Fund,Police,3,Materials and Supplies,322,Small Power Tools and Hand Tools,3615
2016,General Fund,Police,3,Materials and Supplies,324,"Precision, Photographic and Artists",1043793
2016,General Fund,Police,3,Materials and Supplies,325,Printing,159970
2016,General Fund,Police,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,30892
2016,General Fund,Police,3,Materials and Supplies,335,Lubricants,196
2016,General Fund,Police,3,Materials and Supplies,342,Liquid Propane Gas (lpg),5048
2016,General Fund,Police,3,Materials and Supplies,345,Gasoline,135000
2016,General Fund,Police,4,Equipment,410,Electrical Lighting Communication,4355
2016,General Fund,Police,4,Equipment,411,General Equipment and Machinery,520
2016,General Fund,Police,4,Equipment,412,Fire Fighting and Emergency,1069018
2016,General Fund,Police,4,Equipment,417,Hospital and Laboratory,2760
2016,General Fund,Police,4,Equipment,420,Office Equipment,83392
2016,General Fund,Police,4,Equipment,424,"Precision, Photographic and Artist",501500
2016,General Fund,Police,4,Equipment,427,Computer Equipment & Peripherals,50000
2016,General Fund,Police,4,Equipment,430,Furniture and Furnishings,110000
2016,General Fund,Police,4,Equipment,499,Other Equipment (noc),3000
2016,General Fund,Streets,1,Personal Services,100,Salary Control,507350
2016,General Fund,Streets,1,Personal Services,101,Perm Full Time-civilian,63691599
2016,General Fund,Streets,1,Personal Services,121,Temporary Seasonal,281395
2016,General Fund,Streets,1,Personal Services,161,Overtime Civilian,7810759
2016,General Fund,Streets,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",175130
2016,General Fund,Streets,1,Personal Services,181,Shift,257899
2016,General Fund,Streets,2,Purchase of Services,201,Cleaning and Laundering,6178
2016,General Fund,Streets,2,Purchase of Services,205,Refuse/garbage/silt/sludge Removal,38039819
2016,General Fund,Streets,2,Purchase of Services,209,Telephone,621
2016,General Fund,Streets,2,Purchase of Services,210,Postage,1000
2016,General Fund,Streets,2,Purchase of Services,211,Transportation,35439
2016,General Fund,Streets,2,Purchase of Services,215,Licenses Permits Inspection Charges,1350
2016,General Fund,Streets,2,Purchase of Services,240,Advertising/promotional Activities,477891
2016,General Fund,Streets,2,Purchase of Services,250,Professional Consult/spec Services,3957030
2016,General Fund,Streets,2,Purchase of Services,255,Dues,12510
2016,General Fund,Streets,2,Purchase of Services,256,Seminar and Training Sessions,44335
2016,General Fund,Streets,2,Purchase of Services,257,Architectural & Engineering Srvcs,20000
2016,General Fund,Streets,2,Purchase of Services,260,Repair and Maintenance Charges,868798
2016,General Fund,Streets,2,Purchase of Services,285,Rents,5346493
2016,General Fund,Streets,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),7991
2016,General Fund,Streets,3,Materials and Supplies,304,Books and Other Publications,19109
2016,General Fund,Streets,3,Materials and Supplies,305,Building and Construction,1019273
2016,General Fund,Streets,3,Materials and Supplies,307,Chemicals and Gases,18334
2016,General Fund,Streets,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,192666
2016,General Fund,Streets,3,Materials and Supplies,309,Cordage and Fibers,728
2016,General Fund,Streets,3,Materials and Supplies,310,Electrical and Communication,773316
2016,General Fund,Streets,3,Materials and Supplies,311,General Equipment and Machinery,46686
2016,General Fund,Streets,3,Materials and Supplies,312,Fire Fighting and Safety,27154
2016,General Fund,Streets,3,Materials and Supplies,313,Food,200
2016,General Fund,Streets,3,Materials and Supplies,314,Fuel -- Heating and Lighting,313625
2016,General Fund,Streets,3,Materials and Supplies,316,General Hardware and Minor Tools,325448
2016,General Fund,Streets,3,Materials and Supplies,317,Hospital and Laboratory,10520
2016,General Fund,Streets,3,Materials and Supplies,318,"Janitorial, Laundry and Household",180682
2016,General Fund,Streets,3,Materials and Supplies,320,Office Materials and Supplies,102764
2016,General Fund,Streets,3,Materials and Supplies,322,Small Power Tools and Hand Tools,70426
2016,General Fund,Streets,3,Materials and Supplies,323,Plumbing/air Conditioning/space Htg,59315
2016,General Fund,Streets,3,Materials and Supplies,324,"Precision, Photographic and Artists",85102
2016,General Fund,Streets,3,Materials and Supplies,325,Printing,55379
2016,General Fund,Streets,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,16500
2016,General Fund,Streets,3,Materials and Supplies,335,Lubricants,269
2016,General Fund,Streets,3,Materials and Supplies,342,Liquid Propane Gas (lpg),13915
2016,General Fund,Streets,3,Materials and Supplies,399,Other Materials and Supplies (noc),38328
2016,General Fund,Streets,4,Equipment,405,"Construction, Dredging, Conveying",2455
2016,General Fund,Streets,4,Equipment,410,Electrical Lighting Communication,23293
2016,General Fund,Streets,4,Equipment,411,General Equipment and Machinery,47140
2016,General Fund,Streets,4,Equipment,420,Office Equipment,19393
2016,General Fund,Streets,4,Equipment,423,Plumbing/air Conditioning/space Htg,22294
2016,General Fund,Streets,4,Equipment,424,"Precision, Photographic and Artist",68956
2016,General Fund,Streets,4,Equipment,427,Computer Equipment & Peripherals,372
2016,General Fund,Streets,4,Equipment,428,Vehicles -- Motor and Motorless,136000
2016,General Fund,Streets,4,Equipment,430,Furniture and Furnishings,52943
2016,General Fund,Streets,4,Equipment,499,Other Equipment (noc),67377
2016,General Fund,Streets,5,"Contributions, Indemnities, Refunds, Taxes",504,Meritorious Awards,5000
2016,General Fund,Streets,5,"Contributions, Indemnities, Refunds, Taxes",505,Contributions-ed & Non-prof Rec Org,48171
2016,General Fund,Fire,1,Personal Services,100,Salary Control,1098000
2016,General Fund,Fire,1,Personal Services,101,Perm Full Time-civilian,5918875
2016,General Fund,Fire,1,Personal Services,105,Perm Full Time-uniform,147422502
2016,General Fund,Fire,1,Personal Services,107,Fire out of Class Prem(2hr Dif),8845500
2016,General Fund,Fire,1,Personal Services,131,Board,1000
2016,General Fund,Fire,1,Personal Services,161,Overtime Civilian,266990
2016,General Fund,Fire,1,Personal Services,165,Overtime Shift Uniform,24686040
2016,General Fund,Fire,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",64000
2016,General Fund,Fire,1,Personal Services,175,Holiday Pay-annual,8780000
2016,General Fund,Fire,1,Personal Services,181,Shift,244000
2016,General Fund,Fire,2,Purchase of Services,202,Janitorial Services,3000
2016,General Fund,Fire,2,Purchase of Services,211,Transportation,38433
2016,General Fund,Fire,2,Purchase of Services,250,Professional Consult/spec Services,4388478
2016,General Fund,Fire,2,Purchase of Services,256,Seminar and Training Sessions,27000
2016,General Fund,Fire,2,Purchase of Services,260,Repair and Maintenance Charges,813458
2016,General Fund,Fire,2,Purchase of Services,285,Rents,17004
2016,General Fund,Fire,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),6802
2016,General Fund,Fire,3,Materials and Supplies,304,Books and Other Publications,99378
2016,General Fund,Fire,3,Materials and Supplies,307,Chemicals and Gases,100000
2016,General Fund,Fire,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,3860718
2016,General Fund,Fire,3,Materials and Supplies,310,Electrical and Communication,75389
2016,General Fund,Fire,3,Materials and Supplies,312,Fire Fighting and Safety,773581
2016,General Fund,Fire,3,Materials and Supplies,314,Fuel -- Heating and Lighting,74500
2016,General Fund,Fire,3,Materials and Supplies,316,General Hardware and Minor Tools,20000
2016,General Fund,Fire,3,Materials and Supplies,317,Hospital and Laboratory,1214000
2016,General Fund,Fire,3,Materials and Supplies,318,"Janitorial, Laundry and Household",133000
2016,General Fund,Fire,3,Materials and Supplies,320,Office Materials and Supplies,152678
2016,General Fund,Fire,3,Materials and Supplies,322,Small Power Tools and Hand Tools,5520
2016,General Fund,Fire,3,Materials and Supplies,324,"Precision, Photographic and Artists",95328
2016,General Fund,Fire,3,Materials and Supplies,325,Printing,62145
2016,General Fund,Fire,3,Materials and Supplies,328,Motor Vehicle Parts and Accessories,548
2016,General Fund,Fire,3,Materials and Supplies,399,Other Materials and Supplies (noc),6285
2016,General Fund,Fire,4,Equipment,412,Fire Fighting and Emergency,588739
2016,General Fund,Fire,4,Equipment,417,Hospital and Laboratory,200000
2016,General Fund,Fire,4,Equipment,420,Office Equipment,46308
2016,General Fund,Fire,4,Equipment,427,Computer Equipment & Peripherals,5273
2016,General Fund,Fire,4,Equipment,430,Furniture and Furnishings,59778
2016,General Fund,Fire,4,Equipment,499,Other Equipment (noc),38902
2016,General Fund,Fire,8,Payments to Other Funds,803,Payments to Water Fund,8847226
2016,General Fund,Public Health,1,Personal Services,100,Salary Control,335200
2016,General Fund,Public Health,1,Personal Services,101,Perm Full Time-civilian,39990694
2016,General Fund,Public Health,1,Personal Services,111,Perm Part Time,8103852
2016,General Fund,Public Health,1,Personal Services,121,Temporary Seasonal,152000
2016,General Fund,Public Health,1,Personal Services,161,Overtime Civilian,1668900
2016,General Fund,Public Health,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",19300
2016,General Fund,Public Health,1,Personal Services,181,Shift,28308
2016,General Fund,Public Health,2,Purchase of Services,201,Cleaning and Laundering,600
2016,General Fund,Public Health,2,Purchase of Services,202,Janitorial Services,20500
2016,General Fund,Public Health,2,Purchase of Services,205,Refuse/garbage/silt/sludge Removal,181967
2016,General Fund,Public Health,2,Purchase of Services,209,Telephone,99648
2016,General Fund,Public Health,2,Purchase of Services,210,Postage,5671
2016,General Fund,Public Health,2,Purchase of Services,211,Transportation,42950
2016,General Fund,Public Health,2,Purchase of Services,215,Licenses Permits Inspection Charges,26220
2016,General Fund,Public Health,2,Purchase of Services,216,Commercial Off-shelf Comp Software,64958
2016,General Fund,Public Health,2,Purchase of Services,230,Meals-non-travel & Officl Entertain,14775
2016,General Fund,Public Health,2,Purchase of Services,240,Advertising/promotional Activities,1500
2016,General Fund,Public Health,2,Purchase of Services,250,Professional Consult/spec Services,57927997
2016,General Fund,Public Health,2,Purchase of Services,251,Information Technology-prof Service,551460
2016,General Fund,Public Health,2,Purchase of Services,252,Accounting and Auditing Services,10000
2016,General Fund,Public Health,2,Purchase of Services,255,Dues,5640
2016,General Fund,Public Health,2,Purchase of Services,256,Seminar and Training Sessions,23581
2016,General Fund,Public Health,2,Purchase of Services,260,Repair and Maintenance Charges,953875
2016,General Fund,Public Health,2,Purchase of Services,266,Maint/support-computr Hardware/soft,25089
2016,General Fund,Public Health,2,Purchase of Services,280,Insurance and Official Bonds,50
2016,General Fund,Public Health,2,Purchase of Services,284,Ground and Building Rental,3876
2016,General Fund,Public Health,2,Purchase of Services,285,Rents,42521
2016,General Fund,Public Health,2,Purchase of Services,299,Other Expenses (not Othrwse Clssfd),546
2016,General Fund,Public Health,3,Materials and Supplies,304,Books and Other Publications,17051
2016,General Fund,Public Health,3,Materials and Supplies,305,Building and Construction,33600
2016,General Fund,Public Health,3,Materials and Supplies,307,Chemicals and Gases,276064
2016,General Fund,Public Health,3,Materials and Supplies,308,Dry Goods/notions/wearing Apparel,22500
2016,General Fund,Public Health,3,Materials and Supplies,310,Electrical and Communication,61451
2016,General Fund,Public Health,3,Materials and Supplies,312,Fire Fighting and Safety,7662
2016,General Fund,Public Health,3,Materials and Supplies,313,Food,1150
2016,General Fund,Public Health,3,Materials and Supplies,314,Fuel -- Heating and Lighting,11900
2016,General Fund,Public Health,3,Materials and Supplies,316,General Hardware and Minor Tools,50192
2016,General Fund,Public Health,3,Materials and Supplies,317,Hospital and Laboratory,3888895
2016,General Fund,Public Health,3,Materials and Supplies,318,"Janitorial, Laundry and Household",143733
2016,General Fund,Public Health,3,Materials and Supplies,320,Office Materials and Supplies,456181
2016,General Fund,Public Health,3,Materials and Supplies,323,Plumbing/air Conditioning/space Htg,51388
2016,General Fund,Public Health,3,Materials and Supplies,324,"Precision, Photographic and Artists",72403
2016,General Fund,Public Health,3,Materials and Supplies,325,Printing,60839
2016,General Fund,Public Health,3,Materials and Supplies,326,Recreational and Educational,1105
2016,General Fund,Public Health,3,Materials and Supplies,399,Other Materials and Supplies (noc),149560
2016,General Fund,Public Health,4,Equipment,417,Hospital and Laboratory,48465
2016,General Fund,Public Health,4,Equipment,420,Office Equipment,38321
2016,General Fund,Public Health,4,Equipment,427,Computer Equipment & Peripherals,47049
2016,General Fund,Public Health,4,Equipment,428,Vehicles -- Motor and Motorless,3857
2016,General Fund,Public Health,4,Equipment,430,Furniture and Furnishings,34518
2016,General Fund,Public Health,4,Equipment,499,Other Equipment (noc),12884
2016,General Fund,Public Health,8,Payments to Other Funds,804,Payments to Capital Projects Fund,500000
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,1,Personal Services,100,Salary Control,32221
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,1,Personal Services,101,Perm Full Time-civilian,966840
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,1,Personal Services,161,Overtime Civilian,1000
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,1,Personal Services,181,Shift,5
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,2,Purchase of Services,250,Professional Consult/spec Services,862155
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,2,Purchase of Services,254,Mental Health & Retardation Service,12113355
2016,General Fund,Parks and Recreation,1,Personal Services,100,Salary Control,478583
2016,General Fund,Parks and Recreation,1,Personal Services,101,Perm Full Time-civilian,32079910
2016,General Fund,Parks and Recreation,1,Personal Services,111,Perm Part Time,1925243
2016,General Fund,Parks and Recreation,1,Personal Services,121,Temporary Seasonal,6394750
2016,General Fund,Parks and Recreation,1,Personal Services,161,Overtime Civilian,2366240
2016,General Fund,Parks and Recreation,1,Personal Services,171,"Holiday ""g""(2/3 Shifts)",84449
2016,General Fund,Parks and Recreation,1,Personal Services,181,Shift,99878
2016,General Fund,Parks and Recreation,2,Purchase of Services,201,Cleaning and Laundering,45390
2016,General Fund,Parks and Recreation,2,Purchase of Services,202,Janitorial Services,39900
