Fiscal Year,Fund,Department,Class ID,Class,Total
2016,General Fund,L&I  - Board of L&I Review,100,Personal Services,157354.00
2016,General Fund,L&I  - Board of L&I Review,200,Purchase of Services,10436.00
2016,General Fund,L&I  - Zoning Board of Adjustment,100,Personal Services,337749.00
2016,General Fund,L&I  - Zoning Board of Adjustment,200,Purchase of Services,34541.00
2016,General Fund,Labor Relations,100,Personal Services,559029.00
2016,General Fund,Labor Relations,200,Purchase of Services,5277.00
2016,General Fund,Labor Relations,300,Materials and Supplies,8160.00
2016,General Fund,Law,100,Personal Services,7383566.00
2016,General Fund,Law,200,Purchase of Services,7010034.00
2016,General Fund,Law,300,Materials and Supplies,248676.00
2016,General Fund,Licenses and Inspections,100,Personal Services,19770711.00
2016,General Fund,Licenses and Inspections,200,Purchase of Services,10261906.00
2016,General Fund,Licenses and Inspections,300,Materials and Supplies,1443941.00
2016,General Fund,"Managing Director's Office",100,Personal Services,16316293.00
2016,General Fund,"Managing Director's Office",200,Purchase of Services,60748402.00
2016,General Fund,"Managing Director's Office",300,Materials and Supplies,538979.00
2016,General Fund,"Mayor's Office",100,Personal Services,4166124.00
2016,General Fund,"Mayor's Office",200,Purchase of Services,990336.00
2016,General Fund,"Mayor's Office",300,Materials and Supplies,50165.00
2016,General Fund,"Mayor's Office - Scholarships",500,"Contributions, Indemnities, Refunds, Taxes",200000.00
2016,General Fund,"Mayor's Office of Community Services (now CEO)",200,Purchase of Services,605000.00
2016,General Fund,"Mayor's Office of Transportation & Utilities",100,Personal Services,474340.00
2016,General Fund,"Mayor's Office of Transportation & Utilities",200,Purchase of Services,259930.00
2016,General Fund,Mural Arts Program,100,Personal Services,464216.00
2016,General Fund,Mural Arts Program,200,Purchase of Services,1181800.00
2016,General Fund,Office of Arts and Culture,100,Personal Services,201367.00
2016,General Fund,Office of Arts and Culture,200,Purchase of Services,593800.00
2016,General Fund,Office of Arts and Culture,300,Materials and Supplies,7000.00
2016,General Fund,Office of Arts and Culture,500,"Contributions, Indemnities, Refunds, Taxes",2070688.00
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,100,Personal Services,1000066.00
2016,General Fund,Office of Behavioral Health and Intellectual disAbilities,200,Purchase of Services,12875510.00
2016,General Fund,Office of Housing and Community Development,200,Purchase of Services,2520000.00
2016,General Fund,Office of Human Resources,100,Personal Services,5399621.00
2016,General Fund,Office of Human Resources,200,Purchase of Services,964070.00
2016,General Fund,Office of Human Resources,300,Materials and Supplies,69932.00
2016,General Fund,Office of Innovation and Technology,100,Personal Services,19900681.00
2016,General Fund,Office of Innovation and Technology,200,Purchase of Services,54383430.00
2016,General Fund,Office of Innovation and Technology,300,Materials and Supplies,9598351.00
2016,General Fund,Office of Property Assessment,100,Personal Services,10424420.00
2016,General Fund,Office of Property Assessment,200,Purchase of Services,2078126.00
2016,General Fund,Office of Property Assessment,300,Materials and Supplies,782600.00
2016,General Fund,Office of Supportive Housing,100,Personal Services,8281213.00
2016,General Fund,Office of Supportive Housing,200,Purchase of Services,36586621.00
2016,General Fund,Office of Supportive Housing,300,Materials and Supplies,344127.00
2016,General Fund,Office of Supportive Housing,500,"Contributions, Indemnities, Refunds, Taxes",32421.00
2016,General Fund,Office of Sustainability,100,Personal Services,537979.00
2016,General Fund,Office of Sustainability,200,Purchase of Services,279508.00
2016,General Fund,Office of Sustainability,300,Materials and Supplies,17840.00
2016,General Fund,Office of the Inspector General,100,Personal Services,1470611.00
2016,General Fund,Office of the Inspector General,200,Purchase of Services,192975.00
2016,General Fund,Office of the Inspector General,300,Materials and Supplies,5225.00
2016,General Fund,Parks and Recreation,100,Personal Services,43429053.00
2016,General Fund,Parks and Recreation,200,Purchase of Services,9319525.00
2016,General Fund,Parks and Recreation,300,Materials and Supplies,2673805.00
2016,General Fund,Parks and Recreation,500,"Contributions, Indemnities, Refunds, Taxes",2289500.00
2016,General Fund,Police,100,Personal Services,622058347.00
2016,General Fund,Police,200,Purchase of Services,7262807.00
2016,General Fund,Police,300,Materials and Supplies,13417702.00
2016,General Fund,Prisons,100,Personal Services,133469579.00
2016,General Fund,Prisons,200,Purchase of Services,105351301.00
2016,General Fund,Prisons,300,Materials and Supplies,4773744.00
2016,General Fund,Prisons,500,"Contributions, Indemnities, Refunds, Taxes",1301757.00
2016,General Fund,Procurement,100,Personal Services,2472351.00
2016,General Fund,Procurement,200,Purchase of Services,2316267.00
2016,General Fund,Procurement,300,Materials and Supplies,49054.00
2016,General Fund,Public Health,100,Personal Services,50298254.00
2016,General Fund,Public Health,200,Purchase of Services,59953424.00
2016,General Fund,Public Health,300,Materials and Supplies,5490768.00
2016,General Fund,Public Health,800,Payments to Other Funds,500000.00
2016,General Fund,Public Property,100,Personal Services,8400083.00
2016,General Fund,Public Property,200,Purchase of Services,80503771.00
2016,General Fund,Public Property,300,Materials and Supplies,1338535.00
2016,General Fund,Public Property,800,Payments to Other Funds,23367706.00
2016,General Fund,Public Property - SEPTA Subsidy,200,Purchase of Services,74215000.00
2016,General Fund,Records,100,Personal Services,3058832.00
2016,General Fund,Records,200,Purchase of Services,1618779.00
2016,General Fund,Records,300,Materials and Supplies,143758.00
2016,General Fund,Records,500,"Contributions, Indemnities, Refunds, Taxes",1456.00
2016,General Fund,Register of Wills,100,Personal Services,3232166.00
2016,General Fund,Register of Wills,200,Purchase of Services,75486.00
2016,General Fund,Register of Wills,300,Materials and Supplies,33210.00
2016,General Fund,Revenue,100,Personal Services,19617564.00
2016,General Fund,Revenue,200,Purchase of Services,5352949.00
2016,General Fund,Revenue,300,Materials and Supplies,800976.00
2016,General Fund,Sheriff,100,Personal Services,17104325.00
2016,General Fund,Sheriff,200,Purchase of Services,715267.00
2016,General Fund,Sheriff,300,Materials and Supplies,393207.00
2016,General Fund,Sinking Fund Commission (Debt Service),200,Purchase of Services,104546913.00
2016,General Fund,Sinking Fund Commission (Debt Service),700,Debt Service,141398213.00
2016,General Fund,Streets,100,Personal Services,72724132.00
2016,General Fund,Streets,200,Purchase of Services,48819455.00
2016,General Fund,Streets,300,Materials and Supplies,3809962.00
2016,General Fund,Streets,500,"Contributions, Indemnities, Refunds, Taxes",53171.00
2016,General Fund,Youth Commission,100,Personal Services,92660.00
2016,General Fund,Youth Commission,200,Purchase of Services,46000.00
2016,General Fund,Youth Commission,300,Materials and Supplies,4080.00
2016,County Liquid Fuels Tax Fund,Streets,100,Personal Services,3734000.00
2016,County Liquid Fuels Tax Fund,Streets,200,Purchase of Services,861000.00
2016,County Liquid Fuels Tax Fund,Streets,300,Materials and Supplies,256330.00
2016,County Liquid Fuels Tax Fund,Streets,400,Equipment,80000.00
2016,County Liquid Fuels Tax Fund,Streets,800,Payments to Other Funds,18670.00
2016,Special Gasoline Tax Fund,Finance - Employee Benefits,100,Personal Services,1000000.00
2016,Special Gasoline Tax Fund,Streets,100,Personal Services,3000000.00
2016,Special Gasoline Tax Fund,Streets,200,Purchase of Services,15558550.00
2016,Special Gasoline Tax Fund,Streets,300,Materials and Supplies,4871442.00
2016,Special Gasoline Tax Fund,Streets,400,Equipment,5055008.00
2016,Special Gasoline Tax Fund,Streets,800,Payments to Other Funds,15000.00
2016,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual disAbilities,200,Purchase of Services,960002000.00
2016,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual disAbilities,400,Equipment,50000.00
2016,Health Choices Behavioral Health Fund,Office of Behavioral Health and Intellectual disAbilities,800,Payments to Other Funds,1500000.00
2016,Hotel Room Rental Tax Fund,Commerce,500,"Contributions, Indemnities, Refunds, Taxes",62700000.00
2016,Grants Revenue Fund,Auditing,300,Materials and Supplies,74999.00
2016,Grants Revenue Fund,Auditing,400,Equipment,175000.00
2016,Grants Revenue Fund,City Commissioners,100,Personal Services,100000.00
2016,Grants Revenue Fund,City Commissioners,200,Purchase of Services,600000.00
2016,Grants Revenue Fund,City Commissioners,300,Materials and Supplies,100000.00
2016,Grants Revenue Fund,City Commissioners,400,Equipment,100000.00
2016,Grants Revenue Fund,City Planning Commission,100,Personal Services,475261.00
2016,Grants Revenue Fund,City Planning Commission,200,Purchase of Services,955206.00
2016,Grants Revenue Fund,City Planning Commission,800,Payments to Other Funds,1600.00
2016,Grants Revenue Fund,Commerce,100,Personal Services,49814.00
2016,Grants Revenue Fund,Commerce,200,Purchase of Services,10811988.00
2016,Grants Revenue Fund,District Attorney,100,Personal Services,15475000.00
2016,Grants Revenue Fund,District Attorney,200,Purchase of Services,1124880.00
2016,Grants Revenue Fund,District Attorney,300,Materials and Supplies,26000.00
2016,Grants Revenue Fund,District Attorney,400,Equipment,84462.00
2016,Grants Revenue Fund,Finance - Provision for Other Grants,900,Advances & Other Misc Payments,203800721.00
2016,Grants Revenue Fund,Fire,100,Personal Services,9491996.00
2016,Grants Revenue Fund,Fire,200,Purchase of Services,1388014.00
2016,Grants Revenue Fund,Fire,300,Materials and Supplies,223348.00
2016,Grants Revenue Fund,Fire,400,Equipment,145333.00
2016,Grants Revenue Fund,First Judicial District,100,Personal Services,50715911.00
2016,Grants Revenue Fund,First Judicial District,200,Purchase of Services,6775539.00
2016,Grants Revenue Fund,First Judicial District,300,Materials and Supplies,491967.00
2016,Grants Revenue Fund,First Judicial District,400,Equipment,323512.00
2016,Grants Revenue Fund,Free Library,100,Personal Services,1226084.00
2016,Grants Revenue Fund,Free Library,200,Purchase of Services,3921223.00
2016,Grants Revenue Fund,Free Library,300,Materials and Supplies,3221883.00
2016,Grants Revenue Fund,Free Library,400,Equipment,144854.00
2016,Grants Revenue Fund,Human Services,100,Personal Services,116949046.00
2016,Grants Revenue Fund,Human Services,200,Purchase of Services,451172464.00
2016,Grants Revenue Fund,Human Services,300,Materials and Supplies,1337197.00
2016,Grants Revenue Fund,Human Services,400,Equipment,1370347.00
2016,Grants Revenue Fund,Licenses and Inspections,200,Purchase of Services,4500000.00
2016,Grants Revenue Fund,"Managing Director's Office",100,Personal Services,1864474.00
2016,Grants Revenue Fund,"Managing Director's Office",200,Purchase of Services,4021103.00
2016,Grants Revenue Fund,"Managing Director's Office",300,Materials and Supplies,183113.00
2016,Grants Revenue Fund,"Managing Director's Office",400,Equipment,199895.00
2016,Grants Revenue Fund,"Mayor's Office",100,Personal Services,1116264.00
2016,Grants Revenue Fund,"Mayor's Office",200,Purchase of Services,658412.00
2016,Grants Revenue Fund,"Mayor's Office",300,Materials and Supplies,7190.00
2016,Grants Revenue Fund,"Mayor's Office",400,Equipment,2146.00
2016,Grants Revenue Fund,"Mayor's Office of Community Services (now CEO)",100,Personal Services,2800644.00
2016,Grants Revenue Fund,"Mayor's Office of Community Services (now CEO)",200,Purchase of Services,13075621.00
2016,Grants Revenue Fund,"Mayor's Office of Community Services (now CEO)",300,Materials and Supplies,13125.00
2016,Grants Revenue Fund,"Mayor's Office of Community Services (now CEO)",400,Equipment,35000.00
2016,Grants Revenue Fund,"Mayor's Office of Transportation & Utilities",100,Personal Services,127583.00
2016,Grants Revenue Fund,"Mayor's Office of Transportation & Utilities",200,Purchase of Services,1698435.00
2016,Grants Revenue Fund,"Mayor's Office of Transportation & Utilities",300,Materials and Supplies,2500.00
2016,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbilities,100,Personal Services,23142889.00
2016,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbilities,200,Purchase of Services,231221587.00
2016,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbilities,300,Materials and Supplies,221250.00
2016,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbilities,400,Equipment,135940.00
2016,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbilities,800,Payments to Other Funds,76248.00
2016,Grants Revenue Fund,Office of Housing and Community Development,200,Purchase of Services,128117000.00
2016,Grants Revenue Fund,Office of Innovation and Technology,200,Purchase of Services,967655.00
2016,Grants Revenue Fund,Office of Innovation and Technology,800,Payments to Other Funds,44702879.00
2016,Grants Revenue Fund,Office of Supportive Housing,100,Personal Services,710423.00
2016,Grants Revenue Fund,Office of Supportive Housing,200,Purchase of Services,44956142.00
2016,Grants Revenue Fund,Office of Supportive Housing,300,Materials and Supplies,887489.00
2016,Grants Revenue Fund,Office of Sustainability,100,Personal Services,40000.00
2016,Grants Revenue Fund,Parks and Recreation,100,Personal Services,3836352.00
2016,Grants Revenue Fund,Parks and Recreation,200,Purchase of Services,922703.00
2016,Grants Revenue Fund,Parks and Recreation,300,Materials and Supplies,6335874.00
2016,Grants Revenue Fund,Parks and Recreation,400,Equipment,70000.00
2016,Grants Revenue Fund,Parks and Recreation,500,"Contributions, Indemnities, Refunds, Taxes",110000.00
2016,Grants Revenue Fund,Police,100,Personal Services,6249926.00
2016,Grants Revenue Fund,Police,200,Purchase of Services,6276769.00
2016,Grants Revenue Fund,Police,300,Materials and Supplies,6040694.00
2016,Grants Revenue Fund,Police,400,Equipment,8361852.00
2016,Grants Revenue Fund,Prisons,200,Purchase of Services,30000.00
2016,Grants Revenue Fund,Public Health,100,Personal Services,15358732.00
2016,Grants Revenue Fund,Public Health,200,Purchase of Services,56755608.00
2016,Grants Revenue Fund,Public Health,300,Materials and Supplies,1059693.00
2016,Grants Revenue Fund,Public Health,400,Equipment,641586.00
2016,Grants Revenue Fund,Public Health,800,Payments to Other Funds,865555.00
2016,Grants Revenue Fund,Revenue,200,Purchase of Services,21150000.00
2016,Grants Revenue Fund,Streets,100,Personal Services,720000.00
2016,Grants Revenue Fund,Streets,200,Purchase of Services,31905144.00
2016,Grants Revenue Fund,Streets,300,Materials and Supplies,1849856.00
2016,Grants Revenue Fund,Streets,400,Equipment,1755000.00
2016,Community Development Fund,City Planning Commission,100,Personal Services,280000.00
2016,Community Development Fund,Commerce,100,Personal Services,935454.00
2016,Community Development Fund,Commerce,200,Purchase of Services,8461248.00
2016,Community Development Fund,Commerce,300,Materials and Supplies,3000.00
2016,Community Development Fund,Commerce,400,Equipment,5000.00
2016,Community Development Fund,Finance - Employee Benefits,100,Personal Services,4236559.00
2016,Community Development Fund,Finance - Provision for Other Grants,900,Advances & Other Misc Payments,20000000.00
2016,Community Development Fund,Law,100,Personal Services,154637.00
2016,Community Development Fund,Licenses and Inspections,100,Personal Services,514818.00
2016,Community Development Fund,Office of Housing and Community Development,100,Personal Services,4632873.00
2016,Community Development Fund,Office of Housing and Community Development,200,Purchase of Services,54626411.00
2016,Community Development Fund,Office of Housing and Community Development,300,Materials and Supplies,231000.00
2016,Community Development Fund,Office of Housing and Community Development,400,Equipment,50000.00
2016,Community Development Fund,Office of Housing and Community Development,800,Payments to Other Funds,30000.00
2016,Car Rental Tax Fund,Sinking Fund Commission (Debt Service),200,Purchase of Services,6000000.00
2016,Housing Trust Fund,Office of Housing and Community Development,100,Personal Services,1250000.00
2016,Housing Trust Fund,Office of Housing and Community Development,200,Purchase of Services,23250000.00
2016,Water Fund,Finance - Employee Benefits,100,Personal Services,110915262.00
2016,Water Fund,Finance - Indemnities,500,"Contributions, Indemnities, Refunds, Taxes",6500000.00
2016,Water Fund,Fleet Management,100,Personal Services,2969317.00
2016,Water Fund,Fleet Management,200,Purchase of Services,1489000.00
2016,Water Fund,Fleet Management,300,Materials and Supplies,4214640.00
2016,Water Fund,Fleet Management,400,Equipment,60000.00
2016,Water Fund,Law,100,Personal Services,2506206.00
2016,Water Fund,Law,200,Purchase of Services,691614.00
2016,Water Fund,Law,300,Materials and Supplies,30000.00
2016,Water Fund,Law,400,Equipment,13010.00
2016,Water Fund,"Mayor's Office of Transportation & Utilities",100,Personal Services,138550.00
2016,Water Fund,Office of Innovation and Technology,100,Personal Services,6265289.00
2016,Water Fund,Office of Innovation and Technology,200,Purchase of Services,14706497.00
2016,Water Fund,Office of Innovation and Technology,300,Materials and Supplies,216200.00
2016,Water Fund,Office of Innovation and Technology,400,Equipment,1808950.00
2016,Water Fund,Office of Sustainability,100,Personal Services,63874.00
2016,Water Fund,Office of Sustainability,200,Purchase of Services,30000.00
2016,Water Fund,Procurement,100,Personal Services,77383.00
2016,Water Fund,Public Property,200,Purchase of Services,4042633.00
2016,Water Fund,Revenue,100,Personal Services,11138839.00
2016,Water Fund,Revenue,200,Purchase of Services,4484480.00
2016,Water Fund,Revenue,300,Materials and Supplies,514485.00
2016,Water Fund,Revenue,400,Equipment,126435.00
2016,Water Fund,Revenue,500,"Contributions, Indemnities, Refunds, Taxes",5000.00
2016,Water Fund,Sinking Fund Commission (Debt Service),700,Debt Service,227139336.00
2016,Water Fund,Water,100,Personal Services,102961600.00
2016,Water Fund,Water,200,Purchase of Services,151645200.00
2016,Water Fund,Water,300,Materials and Supplies,44061850.00
2016,Water Fund,Water,400,Equipment,3398350.00
2016,Water Fund,Water,500,"Contributions, Indemnities, Refunds, Taxes",100000.00
2016,Water Fund,Water,800,Payments to Other Funds,65000000.00
2016,Water Residual Fund,Water,800,Payments to Other Funds,34724000.00
2016,Aviation Fund,Aviation,100,Personal Services,46218000.00
2016,Aviation Fund,Aviation,200,Purchase of Services,96372841.00
2016,Aviation Fund,Aviation,300,Materials and Supplies,8720000.00
2016,Aviation Fund,Aviation,400,Equipment,3330000.00
2016,Aviation Fund,Aviation,500,"Contributions, Indemnities, Refunds, Taxes",4205000.00
2016,Aviation Fund,Aviation,800,Payments to Other Funds,24600000.00
2016,Aviation Fund,Finance,200,Purchase of Services,4146000.00
2016,Aviation Fund,Finance - Employee Benefits,100,Personal Services,57194271.00
2016,Aviation Fund,Finance - Indemnities,500,"Contributions, Indemnities, Refunds, Taxes",2512000.00
2016,Aviation Fund,Fire,100,Personal Services,6563366.00
2016,Aviation Fund,Fire,200,Purchase of Services,15000.00
2016,Aviation Fund,Fire,300,Materials and Supplies,85000.00
2016,Aviation Fund,Fire,400,Equipment,40000.00
2016,Aviation Fund,Fire,800,Payments to Other Funds,23000.00
2016,Aviation Fund,Fleet Management,100,Personal Services,1364188.00
2016,Aviation Fund,Fleet Management,200,Purchase of Services,588000.00
2016,Aviation Fund,Fleet Management,300,Materials and Supplies,1453000.00
2016,Aviation Fund,Fleet Management,400,Equipment,4840000.00
2016,Aviation Fund,Law,100,Personal Services,1563803.00
2016,Aviation Fund,Law,200,Purchase of Services,432439.00
2016,Aviation Fund,Law,300,Materials and Supplies,9557.00
2016,Aviation Fund,Law,400,Equipment,14800.00
2016,Aviation Fund,"Mayor's Office of Transportation & Utilities",100,Personal Services,191299.00
2016,Aviation Fund,Office of Innovation and Technology,100,Personal Services,297690.00
2016,Aviation Fund,Office of Innovation and Technology,200,Purchase of Services,8607358.00
2016,Aviation Fund,Office of Innovation and Technology,400,Equipment,715000.00
2016,Aviation Fund,Office of Sustainability,100,Personal Services,63873.00
2016,Aviation Fund,Office of Sustainability,200,Purchase of Services,30000.00
2016,Aviation Fund,Police,100,Personal Services,15611887.00
2016,Aviation Fund,Police,200,Purchase of Services,77500.00
2016,Aviation Fund,Police,300,Materials and Supplies,93000.00
2016,Aviation Fund,Public Property,200,Purchase of Services,26900000.00
2016,Aviation Fund,Sinking Fund Commission (Debt Service),700,Debt Service,123505128.00
2016,Acute Care Hospital Assessment Fund,Finance,100,Personal Services,75000.00
2016,Acute Care Hospital Assessment Fund,Finance - Employee Benefits,100,Personal Services,268077.00
2016,Acute Care Hospital Assessment Fund,Public Health,100,Personal Services,5058008.00
2016,Acute Care Hospital Assessment Fund,Public Health,200,Purchase of Services,155638915.00
2016,Acute Care Hospital Assessment Fund,Public Health,300,Materials and Supplies,21000.00
2016,Acute Care Hospital Assessment Fund,Public Health,400,Equipment,60000.00
2016,Acute Care Hospital Assessment Fund,Public Health,800,Payments to Other Funds,2000000.00
2016,Acute Care Hospital Assessment Fund,Revenue,100,Personal Services,30000.00
2016,Acute Care Hospital Assessment Fund,Revenue,300,Materials and Supplies,5000.00
2016,Acute Care Hospital Assessment Fund,Revenue,400,Equipment,10000.00
